Gene,TranscriptID,Counts
DIO1,NM_000792,0
DIO2,NM_013989,0
DIO3,NM_001362,15
GPX1,NM_000581,1
GPX2,NM_002083,2
GPX3,NM_002084,3
GPX4,NM_002085,157
GPX6,NM_182701,3
MSRB1,NM_016332,38
SELENOF,NM_004261,25
SELENOH,NM_170746,79
SELENOI,NM_033505,63
SELENOK,NM_021237,17
SELENOM,NM_080430,16
SELENON,NM_020451,80
SELENOO,NM_031454,77
SELENOP,NM_005410,2
SELENOS,NM_018445,22
SELENOT,NM_016275,55
SELENOV,NM_182704,11
SELENOW,NM_003009,30
SEPHS2,NM_012248,191
TXNRD1,NM_001093771,62
TXNRD2,NM_006440,82
TXNRD3,NM_052883,4
MALAT1,NR_002819,9599
NEAT1,NR_028272,1607
