read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00639:426:HTYK2DRXX:1:2234:22363:12007,GPX1,NM_000581,120,335,-,-
A00639:426:HTYK2DRXX:1:2264:22905:11882,GPX1,NM_000581,123,335,-,-
A00639:426:HTYK2DRXX:1:2110:12283:3255,GPX1,NM_000581,311,345,+,+
A00639:426:HTYK2DRXX:1:2116:10456:32221,GPX1,NM_000581,381,841,+,+
A00639:436:HVNTHDRXX:2:1120:13575:7279,GPX1,NM_000581,749,783,+,+
A00639:436:HVNTHDRXX:1:2266:1624:11631,TXNRD1,NM_001093771,325,372,-,-
A00639:426:HTYK2DRXX:2:2177:10068:30452,TXNRD1,NM_001093771,369,525,-,-
A00639:436:HVNTHDRXX:2:2135:7292:8296,TXNRD1,NM_001093771,396,450,-,-
A00639:426:HTYK2DRXX:1:2159:16396:26882,TXNRD1,NM_001093771,412,455,-,-
A00639:436:HVNTHDRXX:1:1115:16658:18818,TXNRD1,NM_001093771,541,570,-,-
A00639:436:HVNTHDRXX:1:2227:3224:13213,TXNRD1,NM_001093771,629,696,-,-
A00639:426:HTYK2DRXX:1:2235:16613:32988,TXNRD1,NM_001093771,629,697,-,-
A00639:436:HVNTHDRXX:1:1168:11532:14763,TXNRD1,NM_001093771,704,735,-,-
A00639:436:HVNTHDRXX:1:2145:8666:3129,TXNRD1,NM_001093771,718,724,-,-
A00639:426:HTYK2DRXX:1:2162:30210:4178,TXNRD1,NM_001093771,803,898,-,-
A00639:436:HVNTHDRXX:2:2147:22815:32581,TXNRD1,NM_001093771,808,2386,-,-
A00639:436:HVNTHDRXX:2:1150:5023:12164,TXNRD1,NM_001093771,814,856,-,-
A00639:426:HTYK2DRXX:1:2219:13494:14935,TXNRD1,NM_001093771,814,858,-,-
A00639:426:HTYK2DRXX:2:2103:2555:7670,TXNRD1,NM_001093771,1158,1186,-,-
A00639:426:HTYK2DRXX:1:2106:27190:7780,TXNRD1,NM_001093771,1192,1261,-,-
A00639:426:HTYK2DRXX:2:2231:30002:15405,TXNRD1,NM_001093771,1210,1210,-,-
A00639:436:HVNTHDRXX:2:1231:10908:25708,TXNRD1,NM_001093771,1222,1246,-,-
A00639:426:HTYK2DRXX:1:2144:32280:13964,TXNRD1,NM_001093771,1234,1536,-,-
A00639:426:HTYK2DRXX:1:2226:15076:2206,TXNRD1,NM_001093771,1235,1254,-,-
A00639:436:HVNTHDRXX:1:2117:19135:3380,TXNRD1,NM_001093771,1235,1265,-,-
A00639:426:HTYK2DRXX:1:2251:32940:19836,TXNRD1,NM_001093771,1265,1287,-,-
A00639:426:HTYK2DRXX:2:2262:22516:16438,TXNRD1,NM_001093771,1265,1289,-,-
A00639:436:HVNTHDRXX:2:2154:32904:17519,TXNRD1,NM_001093771,1265,1351,-,-
A00639:426:HTYK2DRXX:1:2106:2654:15327,TXNRD1,NM_001093771,1300,1301,-,-
