read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00268:189:H5GW2DSXX:4:2143:15564:12132,GPX1,NM_000581,244,330,-,-
A00268:189:H5GW2DSXX:4:1249:15727:26694,GPX1,NM_000581,255,347,-,-
A00268:189:H5GW2DSXX:4:1270:16432:22216,GPX1,NM_000581,276,347,-,-
A00268:189:H5GW2DSXX:4:1255:9344:35806,GPX1,NM_000581,281,444,-,-
A00268:189:H5GW2DSXX:4:2155:1741:31062,GPX1,NM_000581,288,347,-,-
A00268:189:H5GW2DSXX:4:1438:22453:12759,GPX1,NM_000581,289,344,-,-
A00268:189:H5GW2DSXX:4:1360:29586:11710,GPX1,NM_000581,289,347,-,-
A00268:189:H5GW2DSXX:4:1169:5502:29246,GPX1,NM_000581,293,347,-,-
A00268:189:H5GW2DSXX:4:1365:20202:12618,GPX1,NM_000581,297,347,-,-
A00268:189:H5GW2DSXX:4:2430:7473:12680,GPX1,NM_000581,299,347,-,-
A00268:189:H5GW2DSXX:4:1460:10583:12493,GPX1,NM_000581,302,347,-,-
A00268:189:H5GW2DSXX:4:2167:15718:26772,GPX1,NM_000581,309,347,-,-
A00268:189:H5GW2DSXX:4:1153:4824:28573,GPX1,NM_000581,319,347,-,-
A00268:189:H5GW2DSXX:4:1110:28845:7294,GPX1,NM_000581,322,347,-,-
A00268:189:H5GW2DSXX:4:2474:17987:26913,GPX1,NM_000581,325,347,-,-
A00268:189:H5GW2DSXX:4:2474:7075:22514,GPX1,NM_000581,333,430,-,-
A00268:189:H5GW2DSXX:4:1509:30011:10441,GPX1,NM_000581,379,413,-,-
A00268:189:H5GW2DSXX:4:2246:24415:22576,GPX1,NM_000581,418,511,-,-
A00268:189:H5GW2DSXX:4:1254:19714:4131,GPX1,NM_000581,436,694,-,-
A00268:189:H5GW2DSXX:4:2518:7346:17628,GPX1,NM_000581,439,457,-,-
A00268:189:H5GW2DSXX:4:1461:7075:9017,GPX1,NM_000581,440,575,-,-
A00268:189:H5GW2DSXX:4:1222:4915:20995,GPX1,NM_000581,498,524,-,-
A00268:189:H5GW2DSXX:4:1102:30454:35759,GPX1,NM_000581,499,607,-,-
A00268:189:H5GW2DSXX:4:2638:28013:9361,GPX1,NM_000581,537,538,-,-
A00268:189:H5GW2DSXX:4:2235:5294:20650,GPX1,NM_000581,563,626,+,+
A00268:189:H5GW2DSXX:4:1156:12427:1720,GPX1,NM_000581,704,867,-,-
A00268:189:H5GW2DSXX:4:2631:13467:25285,GPX1,NM_000581,740,772,-,-
A00268:189:H5GW2DSXX:4:1260:1687:9204,GPX1,NM_000581,752,761,-,-
A00268:189:H5GW2DSXX:4:2126:31078:30639,GPX1,NM_000581,806,841,-,-
A00268:189:H5GW2DSXX:4:1669:23384:14559,GPX1,NM_000581,850,853,-,-
A00268:189:H5GW2DSXX:4:1451:16649:29951,TXNRD1,NM_001093771,322,1560,-,-
A00268:189:H5GW2DSXX:4:1241:29722:16423,TXNRD1,NM_001093771,322,1564,-,-
A00268:189:H5GW2DSXX:4:1377:22950:13307,TXNRD1,NM_001093771,386,425,+,+
A00268:189:H5GW2DSXX:4:1243:16369:18975,TXNRD1,NM_001093771,805,852,-,-
A00268:189:H5GW2DSXX:4:1319:26476:32346,TXNRD1,NM_001093771,836,836,-,-
A00268:189:H5GW2DSXX:4:2576:3016:26068,TXNRD1,NM_001093771,856,990,-,-
A00268:189:H5GW2DSXX:4:1342:15148:2049,TXNRD1,NM_001093771,907,907,-,-
A00268:189:H5GW2DSXX:4:2174:24225:35243,TXNRD1,NM_001093771,1137,1200,-,-
A00268:189:H5GW2DSXX:4:2151:25473:7811,TXNRD1,NM_001093771,1299,1311,-,-
A00268:189:H5GW2DSXX:4:1101:31684:14810,TXNRD1,NM_001093771,1313,1485,-,-
A00268:189:H5GW2DSXX:4:1478:19931:18599,TXNRD1,NM_001093771,1319,1379,-,-
A00268:189:H5GW2DSXX:4:2234:25898:7451,TXNRD1,NM_001093771,1322,1393,-,-
A00268:189:H5GW2DSXX:4:1278:19524:24533,TXNRD1,NM_001093771,1364,1497,-,-
A00268:189:H5GW2DSXX:4:1554:31855:2675,TXNRD1,NM_001093771,1369,1440,-,-
A00268:189:H5GW2DSXX:4:1147:32940:36996,TXNRD1,NM_001093771,1592,1620,-,-
A00268:189:H5GW2DSXX:4:1478:3351:19257,TXNRD1,NM_001093771,1660,1773,-,-
A00268:189:H5GW2DSXX:4:1242:19117:25488,TXNRD1,NM_001093771,1944,2130,-,-
A00268:189:H5GW2DSXX:4:1421:9344:29606,TXNRD1,NM_001093771,2356,2619,-,-
A00268:189:H5GW2DSXX:4:2468:15347:8093,TXNRD1,NM_001093771,2950,3053,-,-
A00268:189:H5GW2DSXX:4:1360:2492:12947,GPX2,NM_002083,400,476,-,-
A00268:189:H5GW2DSXX:4:1221:11831:27649,GPX2,NM_002083,400,832,+,+
A00268:189:H5GW2DSXX:4:1338:22950:18850,GPX2,NM_002083,453,488,+,+
A00268:189:H5GW2DSXX:4:1347:19009:34287,GPX2,NM_002083,477,569,+,+
A00268:189:H5GW2DSXX:4:2411:15619:17581,GPX2,NM_002083,619,808,+,+
A00268:189:H5GW2DSXX:4:1637:8919:20165,GPX2,NM_002083,697,731,+,+
A00268:189:H5GW2DSXX:4:1644:23122:16172,GPX2,NM_002083,698,823,+,+
A00268:189:H5GW2DSXX:4:2652:24939:29183,GPX2,NM_002083,716,779,+,+
A00268:189:H5GW2DSXX:4:2550:10393:12821,GPX2,NM_002083,743,828,+,+
A00268:189:H5GW2DSXX:4:2342:9489:23437,GPX2,NM_002083,753,877,+,+
A00268:189:H5GW2DSXX:4:2564:17445:35117,GPX3,NM_002084,398,444,-,-
A00268:189:H5GW2DSXX:4:1108:2627:12336,GPX3,NM_002084,727,864,-,-
A00268:189:H5GW2DSXX:4:1364:24903:34100,GPX3,NM_002084,1234,1332,-,-
A00268:189:H5GW2DSXX:4:1372:25400:13166,GPX3,NM_002084,1317,1393,-,-
A00268:189:H5GW2DSXX:4:1551:10095:13933,GPX3,NM_002084,1379,1409,-,-
A00268:189:H5GW2DSXX:4:2324:16613:1579,GPX3,NM_002084,1442,1702,-,-
A00268:189:H5GW2DSXX:4:1128:2401:23813,GPX3,NM_002084,1468,1690,-,-
A00268:189:H5GW2DSXX:4:1132:26359:35931,GPX3,NM_002084,1490,1685,+,+
A00268:189:H5GW2DSXX:4:2170:1434:28275,GPX3,NM_002084,1530,1728,-,-
A00268:189:H5GW2DSXX:4:1224:29125:36589,GPX3,NM_002084,1554,1679,-,-
A00268:189:H5GW2DSXX:4:1271:14859:18427,GPX4,NM_002085,132,149,-,-
A00268:189:H5GW2DSXX:4:1461:5764:31548,GPX4,NM_002085,148,248,-,-
A00268:189:H5GW2DSXX:4:1570:25527:24659,GPX4,NM_002085,194,244,-,-
A00268:189:H5GW2DSXX:4:1661:12698:34413,GPX4,NM_002085,202,227,-,-
A00268:189:H5GW2DSXX:4:1428:9200:26882,GPX4,NM_002085,203,431,-,-
A00268:189:H5GW2DSXX:4:1378:6994:31391,GPX4,NM_002085,210,260,-,-
A00268:189:H5GW2DSXX:4:1417:25391:28995,GPX4,NM_002085,237,335,-,-
A00268:189:H5GW2DSXX:4:1350:23249:22467,GPX4,NM_002085,245,846,-,-
A00268:189:H5GW2DSXX:4:1326:17309:18537,GPX4,NM_002085,261,401,-,-
A00268:189:H5GW2DSXX:4:2217:3287:26600,GPX4,NM_002085,265,431,-,-
A00268:189:H5GW2DSXX:4:2452:11993:16031,GPX4,NM_002085,274,356,-,-
A00268:189:H5GW2DSXX:4:1508:5520:6731,GPX4,NM_002085,274,387,-,-
A00268:189:H5GW2DSXX:4:1510:4463:32800,GPX4,NM_002085,274,423,-,-
A00268:189:H5GW2DSXX:4:1123:9796:16673,GPX4,NM_002085,291,322,-,-
A00268:189:H5GW2DSXX:4:2429:21215:25269,GPX4,NM_002085,302,327,-,-
A00268:189:H5GW2DSXX:4:2443:8404:4022,GPX4,NM_002085,309,431,-,-
A00268:189:H5GW2DSXX:4:1109:13666:32424,GPX4,NM_002085,316,427,-,-
A00268:189:H5GW2DSXX:4:1276:13340:20243,GPX4,NM_002085,318,549,-,-
A00268:189:H5GW2DSXX:4:2213:6650:36307,GPX4,NM_002085,340,533,-,-
A00268:189:H5GW2DSXX:4:1433:24017:5008,GPX4,NM_002085,370,535,-,-
A00268:189:H5GW2DSXX:4:2418:3278:22764,GPX4,NM_002085,371,434,-,-
A00268:189:H5GW2DSXX:4:1637:3188:12774,GPX4,NM_002085,382,411,-,-
A00268:189:H5GW2DSXX:4:2431:25220:19836,GPX4,NM_002085,384,429,-,-
