read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00679:43:HGVVCDSXX:1:1266:13132:31814,GPX1,NM_000581,276,347,-,-
A00679:43:HGVVCDSXX:1:1346:23954:7028,GPX1,NM_000581,294,347,-,-
A00679:43:HGVVCDSXX:1:2472:13349:5071,GPX1,NM_000581,295,347,-,-
A00679:43:HGVVCDSXX:1:1535:32615:11757,GPX1,NM_000581,297,347,-,-
A00679:43:HGVVCDSXX:1:1368:1253:15843,GPX1,NM_000581,304,347,-,-
A00679:43:HGVVCDSXX:1:1304:3586:13964,GPX1,NM_000581,310,344,-,-
A00679:43:HGVVCDSXX:1:2365:24514:36088,GPX1,NM_000581,312,347,-,-
A00679:43:HGVVCDSXX:1:1459:6388:6731,GPX1,NM_000581,314,347,-,-
A00679:43:HGVVCDSXX:1:1544:21956:17221,GPX1,NM_000581,320,347,-,-
A00679:43:HGVVCDSXX:1:2255:27778:29684,GPX1,NM_000581,322,344,+,+
A00679:43:HGVVCDSXX:1:1435:2862:18693,GPX1,NM_000581,325,347,-,-
A00679:43:HGVVCDSXX:1:2155:28149:19492,GPX1,NM_000581,327,347,-,-
A00679:43:HGVVCDSXX:1:2343:3197:14074,GPX1,NM_000581,335,347,-,-
A00679:43:HGVVCDSXX:1:1239:29179:26130,GPX1,NM_000581,347,421,-,-
A00679:43:HGVVCDSXX:1:2554:2121:8985,GPX1,NM_000581,351,388,-,-
A00679:43:HGVVCDSXX:1:1568:17915:32142,GPX1,NM_000581,372,463,+,+
A00679:43:HGVVCDSXX:1:2203:19397:8594,GPX1,NM_000581,425,550,-,-
A00679:43:HGVVCDSXX:1:1374:22770:15593,GPX1,NM_000581,443,477,-,-
A00679:43:HGVVCDSXX:1:2115:3459:15562,GPX1,NM_000581,447,480,-,-
A00679:43:HGVVCDSXX:1:2159:6162:21527,GPX1,NM_000581,499,554,-,-
A00679:43:HGVVCDSXX:1:2538:20292:32283,GPX1,NM_000581,535,601,-,-
A00679:43:HGVVCDSXX:1:1167:22697:5008,GPX1,NM_000581,555,622,-,-
A00679:43:HGVVCDSXX:1:2635:3269:22592,GPX1,NM_000581,845,879,+,+
A00679:43:HGVVCDSXX:1:1301:27887:12179,TXNRD1,NM_001093771,394,395,-,-
A00679:43:HGVVCDSXX:1:1678:7618:28307,TXNRD1,NM_001093771,1250,1340,-,-
A00679:43:HGVVCDSXX:1:2345:20283:36589,TXNRD1,NM_001093771,1326,1337,-,-
A00679:43:HGVVCDSXX:1:1272:19443:4163,TXNRD1,NM_001093771,1344,1345,-,-
A00679:43:HGVVCDSXX:1:1462:14461:10160,TXNRD1,NM_001093771,1404,1565,-,-
A00679:43:HGVVCDSXX:1:2321:14371:33489,TXNRD1,NM_001093771,1409,1460,-,-
A00679:43:HGVVCDSXX:1:1258:10131:13275,TXNRD1,NM_001093771,1602,1620,-,-
A00679:43:HGVVCDSXX:1:1353:25247:29528,TXNRD1,NM_001093771,1611,1612,-,-
A00679:43:HGVVCDSXX:1:1332:23927:36605,TXNRD1,NM_001093771,1686,1730,-,-
A00679:43:HGVVCDSXX:1:2249:15691:36245,TXNRD1,NM_001093771,2151,2151,-,-
A00679:43:HGVVCDSXX:1:1554:15293:16454,TXNRD1,NM_001093771,2391,2392,-,-
A00679:43:HGVVCDSXX:1:2447:15854:28573,TXNRD1,NM_001093771,2643,2668,-,-
A00679:43:HGVVCDSXX:1:1525:9001:24972,TXNRD1,NM_001093771,2664,2772,-,-
A00679:43:HGVVCDSXX:1:2606:28854:26036,TXNRD1,NM_001093771,2758,2767,-,-
A00679:43:HGVVCDSXX:1:2172:21278:29982,TXNRD1,NM_001093771,2762,2762,-,-
A00679:43:HGVVCDSXX:1:2578:13358:24126,GPX2,NM_002083,156,228,-,-
A00679:43:HGVVCDSXX:1:1239:22905:26099,GPX2,NM_002083,221,362,-,-
A00679:43:HGVVCDSXX:1:1631:26476:29997,GPX2,NM_002083,224,766,-,-
A00679:43:HGVVCDSXX:1:1233:4336:14763,GPX2,NM_002083,239,304,-,-
A00679:43:HGVVCDSXX:1:1254:24930:20024,GPX2,NM_002083,415,514,-,-
A00679:43:HGVVCDSXX:1:1362:32506:19116,GPX2,NM_002083,431,697,-,-
A00679:43:HGVVCDSXX:1:2133:11071:22670,GPX2,NM_002083,472,666,-,-
A00679:43:HGVVCDSXX:1:2113:4264:19398,GPX2,NM_002083,482,626,-,-
A00679:43:HGVVCDSXX:1:2645:13847:19867,GPX2,NM_002083,489,580,-,-
A00679:43:HGVVCDSXX:1:2103:20139:15201,GPX2,NM_002083,493,560,-,-
A00679:43:HGVVCDSXX:1:1101:2745:1329,GPX2,NM_002083,497,668,-,-
A00679:43:HGVVCDSXX:1:2302:25672:28573,GPX2,NM_002083,522,548,-,-
A00679:43:HGVVCDSXX:1:2306:27263:20337,GPX2,NM_002083,566,590,+,+
A00679:43:HGVVCDSXX:1:2428:25066:18192,GPX2,NM_002083,567,590,+,+
A00679:43:HGVVCDSXX:1:1658:8847:23923,GPX2,NM_002083,576,654,-,-
A00679:43:HGVVCDSXX:1:2549:1515:7122,GPX2,NM_002083,588,692,-,-
A00679:43:HGVVCDSXX:1:1545:15365:35650,GPX2,NM_002083,643,699,-,-
A00679:43:HGVVCDSXX:1:1378:15474:24596,GPX2,NM_002083,646,759,-,-
A00679:43:HGVVCDSXX:1:1411:7120:34428,GPX2,NM_002083,653,685,+,+
A00679:43:HGVVCDSXX:1:1574:30933:18615,GPX2,NM_002083,656,692,-,-
A00679:43:HGVVCDSXX:1:2539:2049:27649,GPX2,NM_002083,661,680,-,-
A00679:43:HGVVCDSXX:1:2265:10646:4993,GPX2,NM_002083,662,662,-,-
A00679:43:HGVVCDSXX:1:1559:31331:31579,GPX2,NM_002083,668,685,+,+
A00679:43:HGVVCDSXX:1:1229:16215:8312,GPX2,NM_002083,681,682,-,-
A00679:43:HGVVCDSXX:1:2632:25066:27211,GPX2,NM_002083,723,762,-,-
A00679:43:HGVVCDSXX:1:2262:11324:18192,GPX2,NM_002083,737,761,-,-
A00679:43:HGVVCDSXX:1:1162:4915:26850,GPX2,NM_002083,738,767,-,-
A00679:43:HGVVCDSXX:1:1431:28122:30968,GPX2,NM_002083,750,768,-,-
A00679:43:HGVVCDSXX:1:2149:15266:19727,GPX2,NM_002083,751,833,-,-
A00679:43:HGVVCDSXX:1:1308:7012:29794,GPX2,NM_002083,782,782,-,-
A00679:43:HGVVCDSXX:1:2312:23773:12540,GPX2,NM_002083,807,827,-,-
A00679:43:HGVVCDSXX:1:2634:3369:16157,GPX2,NM_002083,815,898,-,-
A00679:43:HGVVCDSXX:1:1347:9362:19899,GPX2,NM_002083,823,823,+,+
A00679:43:HGVVCDSXX:1:1368:9209:3286,GPX2,NM_002083,853,898,-,-
A00679:43:HGVVCDSXX:1:2450:15465:24236,GPX2,NM_002083,884,898,+,+
A00679:43:HGVVCDSXX:1:2211:22535:11647,GPX2,NM_002083,917,946,-,-
A00679:43:HGVVCDSXX:1:2134:25256:33144,GPX2,NM_002083,958,994,-,-
A00679:43:HGVVCDSXX:1:2662:12997:5087,GPX3,NM_002084,183,288,-,-
A00679:43:HGVVCDSXX:1:2463:2817:19335,GPX3,NM_002084,191,249,-,-
A00679:43:HGVVCDSXX:1:1126:1624:12477,GPX3,NM_002084,1264,1353,+,+
A00679:43:HGVVCDSXX:1:1403:15962:1266,GPX3,NM_002084,1318,1424,-,-
A00679:43:HGVVCDSXX:1:2338:4038:14779,GPX3,NM_002084,1333,1361,-,-
A00679:43:HGVVCDSXX:1:1625:30535:24627,GPX3,NM_002084,1388,1451,-,-
A00679:43:HGVVCDSXX:1:2230:21034:4069,GPX3,NM_002084,1423,1438,+,+
A00679:43:HGVVCDSXX:1:1506:6497:11804,GPX3,NM_002084,1483,1709,-,-
A00679:43:HGVVCDSXX:1:1435:8675:12007,GPX3,NM_002084,1490,1542,-,-
A00679:43:HGVVCDSXX:1:1333:23746:5353,GPX3,NM_002084,1527,1637,-,-
A00679:43:HGVVCDSXX:1:1332:11975:10175,GPX3,NM_002084,1537,1690,-,-
A00679:43:HGVVCDSXX:1:1228:17942:13964,GPX3,NM_002084,1575,1617,-,-
A00679:43:HGVVCDSXX:1:1210:9254:31892,GPX3,NM_002084,1586,1658,-,-
A00679:43:HGVVCDSXX:1:1373:1949:14982,GPX4,NM_002085,151,275,-,-
A00679:43:HGVVCDSXX:1:1212:24677:20838,GPX4,NM_002085,165,392,-,-
A00679:43:HGVVCDSXX:1:2404:11134:18834,GPX4,NM_002085,204,231,-,-
A00679:43:HGVVCDSXX:1:1439:19388:24486,GPX4,NM_002085,272,318,-,-
A00679:43:HGVVCDSXX:1:2644:5330:9596,GPX4,NM_002085,276,379,-,-
A00679:43:HGVVCDSXX:1:1264:15022:7686,GPX4,NM_002085,280,306,-,-
A00679:43:HGVVCDSXX:1:1223:25843:33379,GPX4,NM_002085,281,433,-,-
A00679:43:HGVVCDSXX:1:1541:12093:8281,GPX4,NM_002085,285,378,-,-
A00679:43:HGVVCDSXX:1:1120:10303:17394,GPX4,NM_002085,285,385,-,-
A00679:43:HGVVCDSXX:1:2517:24578:2472,GPX4,NM_002085,294,431,-,-
A00679:43:HGVVCDSXX:1:1178:14281:6120,GPX4,NM_002085,295,386,-,-
A00679:43:HGVVCDSXX:1:2378:9227:8829,GPX4,NM_002085,300,454,-,-
A00679:43:HGVVCDSXX:1:1601:17797:4852,GPX4,NM_002085,303,309,-,-
A00679:43:HGVVCDSXX:1:2372:13051:34303,GPX4,NM_002085,313,373,-,-
A00679:43:HGVVCDSXX:1:2576:16477:24486,GPX4,NM_002085,316,429,-,-
A00679:43:HGVVCDSXX:1:2612:8974:16000,GPX4,NM_002085,317,351,-,-
