read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00268:189:H5GW2DSXX:4:1514:19976:25285,GPX1,NM_000581,276,321,-,-
A00268:189:H5GW2DSXX:4:1559:8838:19805,GPX1,NM_000581,276,347,-,-
A00268:189:H5GW2DSXX:4:2330:29550:7983,GPX1,NM_000581,298,344,-,-
A00268:189:H5GW2DSXX:4:1133:30029:18490,GPX1,NM_000581,302,344,-,-
A00268:189:H5GW2DSXX:4:1507:8992:11240,GPX1,NM_000581,310,347,+,+
A00268:189:H5GW2DSXX:4:1403:31367:32831,GPX1,NM_000581,315,347,-,-
A00268:189:H5GW2DSXX:4:1240:31349:6590,GPX1,NM_000581,317,347,-,-
A00268:189:H5GW2DSXX:4:1436:31412:13902,GPX1,NM_000581,318,344,+,+
A00268:189:H5GW2DSXX:4:1218:25111:18114,GPX1,NM_000581,320,344,-,-
A00268:189:H5GW2DSXX:4:1342:24659:1892,GPX1,NM_000581,325,347,-,-
A00268:189:H5GW2DSXX:4:1331:7672:4351,GPX1,NM_000581,327,347,-,-
A00268:189:H5GW2DSXX:4:1171:29035:31955,GPX1,NM_000581,346,414,-,-
A00268:189:H5GW2DSXX:4:1122:25807:35196,GPX1,NM_000581,362,461,-,-
A00268:189:H5GW2DSXX:4:1325:19967:35039,GPX1,NM_000581,465,559,-,-
A00268:189:H5GW2DSXX:4:2559:15555:24799,GPX1,NM_000581,505,515,-,-
A00268:189:H5GW2DSXX:4:1371:27145:4476,GPX1,NM_000581,511,658,-,-
A00268:189:H5GW2DSXX:4:1422:30174:3646,GPX1,NM_000581,521,655,-,-
A00268:189:H5GW2DSXX:4:1145:6063:28150,GPX1,NM_000581,533,676,-,-
A00268:189:H5GW2DSXX:4:1520:30337:6558,GPX1,NM_000581,534,554,-,-
A00268:189:H5GW2DSXX:4:1226:26060:21418,GPX1,NM_000581,534,555,-,-
A00268:189:H5GW2DSXX:4:2616:8784:29450,GPX1,NM_000581,544,574,-,-
A00268:189:H5GW2DSXX:4:1425:10936:15201,GPX1,NM_000581,567,569,-,-
A00268:189:H5GW2DSXX:4:2672:19144:9126,GPX1,NM_000581,589,603,-,-
A00268:189:H5GW2DSXX:4:1342:9335:15217,GPX1,NM_000581,657,826,-,-
A00268:189:H5GW2DSXX:4:1114:19687:25222,GPX1,NM_000581,671,718,-,-
A00268:189:H5GW2DSXX:4:2227:11442:25911,GPX1,NM_000581,825,878,+,+
A00268:189:H5GW2DSXX:4:2503:1027:18928,GPX1,NM_000581,829,829,-,-
A00268:189:H5GW2DSXX:4:2372:11143:11898,GPX1,NM_000581,850,895,-,-
A00268:189:H5GW2DSXX:4:1121:25039:9721,GPX1,NM_000581,876,922,-,-
A00268:189:H5GW2DSXX:4:1101:24596:22701,TXNRD1,NM_001093771,343,412,-,-
A00268:189:H5GW2DSXX:4:2317:24288:32722,TXNRD1,NM_001093771,499,665,-,-
A00268:189:H5GW2DSXX:4:1548:24704:27993,TXNRD1,NM_001093771,504,591,-,-
A00268:189:H5GW2DSXX:4:1574:24388:23563,TXNRD1,NM_001093771,504,593,-,-
A00268:189:H5GW2DSXX:4:1546:15619:22153,TXNRD1,NM_001093771,659,832,-,-
A00268:189:H5GW2DSXX:4:2447:30608:31234,TXNRD1,NM_001093771,809,1117,-,-
A00268:189:H5GW2DSXX:4:1203:3414:34334,TXNRD1,NM_001093771,1007,1012,-,-
A00268:189:H5GW2DSXX:4:1368:10538:10817,TXNRD1,NM_001093771,1155,1158,-,-
A00268:189:H5GW2DSXX:4:2457:30599:31407,TXNRD1,NM_001093771,1220,1247,-,-
A00268:189:H5GW2DSXX:4:2465:16459:28401,TXNRD1,NM_001093771,1220,1248,-,-
A00268:189:H5GW2DSXX:4:1575:22408:6731,TXNRD1,NM_001093771,1227,1227,-,-
A00268:189:H5GW2DSXX:4:1137:6298:34695,TXNRD1,NM_001093771,1228,1259,-,-
A00268:189:H5GW2DSXX:4:1254:18376:29747,TXNRD1,NM_001093771,1297,2764,-,-
A00268:189:H5GW2DSXX:4:2622:1624:18145,TXNRD1,NM_001093771,1308,1361,-,-
A00268:189:H5GW2DSXX:4:1616:22851:32424,TXNRD1,NM_001093771,1313,1340,-,-
A00268:189:H5GW2DSXX:4:2635:20265:16266,TXNRD1,NM_001093771,1314,1345,-,-
A00268:189:H5GW2DSXX:4:1144:13123:16673,TXNRD1,NM_001093771,1325,1326,-,-
A00268:189:H5GW2DSXX:4:2549:14479:33144,TXNRD1,NM_001093771,1325,1329,-,-
A00268:189:H5GW2DSXX:4:1401:10556:25661,TXNRD1,NM_001093771,1395,1395,-,-
A00268:189:H5GW2DSXX:4:1352:26729:5447,TXNRD1,NM_001093771,1593,1705,-,-
A00268:189:H5GW2DSXX:4:1501:8278:27383,TXNRD1,NM_001093771,1610,1610,-,-
A00268:189:H5GW2DSXX:4:1518:32081:33317,TXNRD1,NM_001093771,1615,1617,-,-
A00268:189:H5GW2DSXX:4:2615:9037:4304,TXNRD1,NM_001093771,1619,1662,-,-
A00268:189:H5GW2DSXX:4:1131:30047:8155,TXNRD1,NM_001093771,1637,1727,-,-
A00268:189:H5GW2DSXX:4:1108:13024:24392,TXNRD1,NM_001093771,1646,1710,-,-
A00268:189:H5GW2DSXX:4:2372:30300:31735,TXNRD1,NM_001093771,1944,2005,-,-
A00268:189:H5GW2DSXX:4:1305:2980:6402,TXNRD1,NM_001093771,2096,2097,-,-
A00268:189:H5GW2DSXX:4:1171:22209:17440,TXNRD1,NM_001093771,2633,2635,-,-
A00268:189:H5GW2DSXX:4:1502:1814:27085,TXNRD1,NM_001093771,2704,2705,-,-
A00268:189:H5GW2DSXX:4:1149:14461:22122,TXNRD1,NM_001093771,2727,2769,-,-
A00268:189:H5GW2DSXX:4:1557:29613:9032,TXNRD1,NM_001093771,2753,2768,-,-
A00268:189:H5GW2DSXX:4:2106:14760:34475,TXNRD1,NM_001093771,2761,2767,-,-
A00268:189:H5GW2DSXX:4:2456:1217:10614,TXNRD1,NM_001093771,2952,2976,-,-
A00268:189:H5GW2DSXX:4:1462:25617:13823,TXNRD1,NM_001093771,3422,3466,+,+
A00268:189:H5GW2DSXX:4:2450:10926:33254,TXNRD1,NM_001093771,3451,3476,-,-
A00268:189:H5GW2DSXX:4:2355:11053:24831,TXNRD1,NM_001093771,3453,3465,-,-
A00268:189:H5GW2DSXX:4:2606:4616:20917,TXNRD1,NM_001093771,3494,3494,-,-
A00268:189:H5GW2DSXX:4:2553:14968:36370,TXNRD1,NM_001093771,3494,3527,-,-
A00268:189:H5GW2DSXX:4:1149:9561:36746,GPX2,NM_002083,97,239,+,+
A00268:189:H5GW2DSXX:4:1631:12798:9032,GPX2,NM_002083,156,250,-,-
A00268:189:H5GW2DSXX:4:1121:5339:26710,GPX2,NM_002083,164,284,-,-
A00268:189:H5GW2DSXX:4:1337:14760:34507,GPX2,NM_002083,201,572,-,-
A00268:189:H5GW2DSXX:4:1104:23674:34851,GPX2,NM_002083,228,298,-,-
A00268:189:H5GW2DSXX:4:2135:6135:31031,GPX2,NM_002083,229,260,-,-
A00268:189:H5GW2DSXX:4:1352:20907:25363,GPX2,NM_002083,279,445,-,-
A00268:189:H5GW2DSXX:4:2449:5538:4633,GPX2,NM_002083,281,445,-,-
A00268:189:H5GW2DSXX:4:1410:27154:25160,GPX2,NM_002083,323,428,-,-
A00268:189:H5GW2DSXX:4:1157:32515:16501,GPX2,NM_002083,351,489,-,-
A00268:189:H5GW2DSXX:4:1655:26928:16532,GPX2,NM_002083,369,428,-,-
A00268:189:H5GW2DSXX:4:1106:18159:15405,GPX2,NM_002083,383,393,-,-
A00268:189:H5GW2DSXX:4:1267:7184:10238,GPX2,NM_002083,412,422,-,-
A00268:189:H5GW2DSXX:4:2111:8024:21997,GPX2,NM_002083,465,832,-,-
A00268:189:H5GW2DSXX:4:1372:21215:1877,GPX2,NM_002083,497,806,-,-
A00268:189:H5GW2DSXX:4:2670:14859:10473,GPX2,NM_002083,520,552,-,-
A00268:189:H5GW2DSXX:4:1202:27019:21261,GPX2,NM_002083,535,548,-,-
A00268:189:H5GW2DSXX:4:1170:31783:9220,GPX2,NM_002083,536,545,-,-
A00268:189:H5GW2DSXX:4:2202:4571:30295,GPX2,NM_002083,551,553,-,-
A00268:189:H5GW2DSXX:4:1356:20265:34648,GPX2,NM_002083,558,559,-,-
A00268:189:H5GW2DSXX:4:1168:1298:19147,GPX2,NM_002083,567,646,-,-
A00268:189:H5GW2DSXX:4:2154:18611:11115,GPX2,NM_002083,587,663,-,-
A00268:189:H5GW2DSXX:4:2313:13892:28369,GPX2,NM_002083,635,635,-,-
A00268:189:H5GW2DSXX:4:1511:11975:36448,GPX2,NM_002083,636,685,+,+
A00268:189:H5GW2DSXX:4:1474:18566:11882,GPX2,NM_002083,661,709,-,-
A00268:189:H5GW2DSXX:4:1229:11270:30279,GPX2,NM_002083,678,678,-,-
A00268:189:H5GW2DSXX:4:2428:27290:22232,GPX2,NM_002083,685,728,-,-
A00268:189:H5GW2DSXX:4:1430:4716:20807,GPX2,NM_002083,685,729,-,-
A00268:189:H5GW2DSXX:4:1535:20464:16329,GPX2,NM_002083,701,832,-,-
A00268:189:H5GW2DSXX:4:1575:29505:16830,GPX2,NM_002083,702,847,-,-
A00268:189:H5GW2DSXX:4:1254:29921:31673,GPX2,NM_002083,738,738,-,-
A00268:189:H5GW2DSXX:4:2102:31385:17487,GPX2,NM_002083,738,873,-,-
A00268:189:H5GW2DSXX:4:1337:29071:28260,GPX2,NM_002083,739,783,-,-
A00268:189:H5GW2DSXX:4:2478:28393:29309,GPX2,NM_002083,751,857,-,-
A00268:189:H5GW2DSXX:4:1106:31611:17065,GPX2,NM_002083,758,824,-,-
A00268:189:H5GW2DSXX:4:2558:9417:31203,GPX2,NM_002083,762,789,-,-
A00268:189:H5GW2DSXX:4:1562:3595:32550,GPX2,NM_002083,762,791,-,-
A00268:189:H5GW2DSXX:4:2513:20654:35227,GPX2,NM_002083,784,878,-,-
A00268:189:H5GW2DSXX:4:1556:23493:10958,GPX2,NM_002083,785,786,-,-
A00268:189:H5GW2DSXX:4:1450:16360:10786,GPX2,NM_002083,785,832,-,-
A00268:189:H5GW2DSXX:4:1372:21630:14184,GPX2,NM_002083,791,875,-,-
