read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00403:416:H3M2LDSXY:2:2472:23728:31062,GPX1,NM_000581,440,566,+,+
A00403:416:H3M2LDSXY:2:2159:10908:31688,GPX1,NM_000581,608,629,+,+
A00403:416:H3M2LDSXY:2:1606:31213:23547,TXNRD1,NM_001093771,673,674,-,-
A00403:416:H3M2LDSXY:2:2506:8287:24956,TXNRD1,NM_001093771,1201,1288,-,-
A00403:416:H3M2LDSXY:2:2142:2727:33614,TXNRD1,NM_001093771,1294,1390,-,-
A00403:416:H3M2LDSXY:2:1653:14733:25347,TXNRD1,NM_001093771,1313,1363,-,-
A00403:416:H3M2LDSXY:2:1140:13340:9314,TXNRD1,NM_001093771,2663,2669,-,-
A00403:416:H3M2LDSXY:2:2430:21576:28150,GPX3,NM_002084,940,1010,+,+
A00403:416:H3M2LDSXY:2:2217:24487:10927,GPX3,NM_002084,1059,1136,+,+
A00403:416:H3M2LDSXY:2:1162:8883:13745,GPX3,NM_002084,1487,1686,+,+
A00403:416:H3M2LDSXY:2:1514:5321:17284,GPX3,NM_002084,1529,1697,+,+
A00403:416:H3M2LDSXY:2:1426:5864:13651,GPX4,NM_002085,132,218,-,-
A00403:416:H3M2LDSXY:2:1426:5864:13651,GPX4,NM_002085,132,220,-,-
A00403:416:H3M2LDSXY:2:2551:24623:26694,GPX4,NM_002085,202,397,-,-
A00403:416:H3M2LDSXY:2:1511:2627:11397,GPX4,NM_002085,224,555,-,-
A00403:416:H3M2LDSXY:2:1501:10773:3396,GPX4,NM_002085,241,255,-,-
A00403:416:H3M2LDSXY:2:1337:32515:3129,GPX4,NM_002085,254,388,-,-
A00403:416:H3M2LDSXY:2:1362:24514:29105,GPX4,NM_002085,263,383,-,-
A00403:416:H3M2LDSXY:2:2226:21025:29825,GPX4,NM_002085,265,381,-,-
A00403:416:H3M2LDSXY:2:2416:22336:12649,GPX4,NM_002085,266,372,-,-
A00403:416:H3M2LDSXY:2:1210:26205:10676,GPX4,NM_002085,290,390,-,-
A00403:416:H3M2LDSXY:2:1560:17761:7576,GPX4,NM_002085,294,386,-,-
A00403:416:H3M2LDSXY:2:2665:1506:35916,GPX4,NM_002085,296,412,-,-
A00403:416:H3M2LDSXY:2:2305:25446:28275,GPX4,NM_002085,297,379,-,-
A00403:416:H3M2LDSXY:2:1637:13485:15076,GPX4,NM_002085,301,549,-,-
A00403:416:H3M2LDSXY:2:1360:26738:19993,GPX4,NM_002085,304,356,-,-
A00403:416:H3M2LDSXY:2:2512:7238:15123,GPX4,NM_002085,320,391,-,-
A00403:416:H3M2LDSXY:2:1173:30427:16485,GPX4,NM_002085,322,383,-,-
A00403:416:H3M2LDSXY:2:2144:16351:28056,GPX4,NM_002085,333,429,-,-
A00403:416:H3M2LDSXY:2:1565:19777:23844,GPX4,NM_002085,335,370,-,-
A00403:416:H3M2LDSXY:2:2237:3875:28181,GPX4,NM_002085,364,455,-,-
A00403:416:H3M2LDSXY:2:2355:8938:20228,GPX4,NM_002085,374,527,-,-
A00403:416:H3M2LDSXY:2:2639:20880:25629,GPX4,NM_002085,374,543,-,-
A00403:416:H3M2LDSXY:2:1621:7057:18568,GPX4,NM_002085,416,427,-,-
A00403:416:H3M2LDSXY:2:1125:4679:19867,GPX4,NM_002085,456,501,-,-
A00403:416:H3M2LDSXY:2:1473:27416:14497,GPX4,NM_002085,456,709,-,-
A00403:416:H3M2LDSXY:2:1147:32497:20415,GPX4,NM_002085,470,496,-,-
A00403:416:H3M2LDSXY:2:2165:10999:3474,GPX4,NM_002085,666,845,-,-
A00403:416:H3M2LDSXY:2:1335:7509:35415,GPX4,NM_002085,690,819,-,-
A00403:416:H3M2LDSXY:2:1516:6940:22028,GPX4,NM_002085,727,817,-,-
A00403:416:H3M2LDSXY:2:1512:23601:33505,GPX4,NM_002085,727,877,-,-
A00403:416:H3M2LDSXY:2:2360:28492:15796,GPX4,NM_002085,728,804,-,-
A00403:416:H3M2LDSXY:2:2367:30752:34741,SELENOW,NM_003009,230,314,+,+
A00403:416:H3M2LDSXY:2:2278:16966:23015,SELENOW,NM_003009,230,365,+,+
A00403:416:H3M2LDSXY:2:2664:16206:17691,SELENOW,NM_003009,230,494,-,-
A00403:416:H3M2LDSXY:2:1431:21658:24032,SELENOW,NM_003009,281,326,-,-
A00403:416:H3M2LDSXY:2:1147:9326:9940,SELENOW,NM_003009,281,329,-,-
A00403:416:H3M2LDSXY:2:1112:25961:35305,SELENOW,NM_003009,373,600,+,+
A00403:416:H3M2LDSXY:2:1675:3351:4507,SELENOW,NM_003009,467,493,-,-
A00403:416:H3M2LDSXY:2:1232:7175:8813,SELENOW,NM_003009,620,780,-,-
A00403:416:H3M2LDSXY:2:2429:5177:35728,SELENOF,NM_004261,365,469,-,-
A00403:416:H3M2LDSXY:2:2339:27037:12117,TXNRD2,NM_006440,1,131,+,+
A00403:416:H3M2LDSXY:2:1263:15872:34929,TXNRD2,NM_006440,4,60,+,+
A00403:416:H3M2LDSXY:2:2273:22318:25363,TXNRD2,NM_006440,4,232,+,+
A00403:416:H3M2LDSXY:2:2358:7771:27790,TXNRD2,NM_006440,12,151,+,+
A00403:416:H3M2LDSXY:2:1469:21323:29465,TXNRD2,NM_006440,16,225,+,+
A00403:416:H3M2LDSXY:2:1472:6135:8265,TXNRD2,NM_006440,178,335,-,-
A00403:416:H3M2LDSXY:2:1378:25147:22623,TXNRD2,NM_006440,178,660,-,-
A00403:416:H3M2LDSXY:2:1121:3025:35227,TXNRD2,NM_006440,184,687,-,-
A00403:416:H3M2LDSXY:2:1562:4164:10113,TXNRD2,NM_006440,188,1676,-,-
A00403:416:H3M2LDSXY:2:2270:18502:31031,TXNRD2,NM_006440,189,451,-,-
A00403:416:H3M2LDSXY:2:2105:17074:27743,TXNRD2,NM_006440,191,660,-,-
A00403:416:H3M2LDSXY:2:1109:21558:25927,TXNRD2,NM_006440,192,439,-,-
A00403:416:H3M2LDSXY:2:1157:2374:4883,TXNRD2,NM_006440,194,1971,-,-
A00403:416:H3M2LDSXY:2:1435:29451:23469,TXNRD2,NM_006440,222,289,-,-
A00403:416:H3M2LDSXY:2:1132:14561:24987,TXNRD2,NM_006440,222,1982,-,-
A00403:416:H3M2LDSXY:2:2236:6506:13291,TXNRD2,NM_006440,223,289,-,-
A00403:416:H3M2LDSXY:2:1666:26675:34006,TXNRD2,NM_006440,223,927,-,-
A00403:416:H3M2LDSXY:2:2639:2211:28494,TXNRD2,NM_006440,224,1982,-,-
A00403:416:H3M2LDSXY:2:2432:8052:13056,TXNRD2,NM_006440,230,528,-,-
A00403:416:H3M2LDSXY:2:1257:1298:13416,TXNRD2,NM_006440,239,419,-,-
A00403:416:H3M2LDSXY:2:2334:13774:27821,TXNRD2,NM_006440,251,289,-,-
A00403:416:H3M2LDSXY:2:1501:24957:7576,TXNRD2,NM_006440,251,329,-,-
A00403:416:H3M2LDSXY:2:2116:18873:10629,TXNRD2,NM_006440,255,436,-,-
A00403:416:H3M2LDSXY:2:2125:17074:33818,TXNRD2,NM_006440,257,325,+,+
A00403:416:H3M2LDSXY:2:1354:17815:6198,TXNRD2,NM_006440,261,289,-,-
A00403:416:H3M2LDSXY:2:1455:28772:32534,TXNRD2,NM_006440,262,412,-,-
A00403:416:H3M2LDSXY:2:1434:17842:13041,TXNRD2,NM_006440,270,519,-,-
A00403:416:H3M2LDSXY:2:2311:11324:19820,TXNRD2,NM_006440,295,322,-,-
A00403:416:H3M2LDSXY:2:2132:27416:5040,TXNRD2,NM_006440,295,511,-,-
A00403:416:H3M2LDSXY:2:2125:22914:17628,TXNRD2,NM_006440,303,346,-,-
A00403:416:H3M2LDSXY:2:2352:29722:3928,TXNRD2,NM_006440,316,464,+,+
A00403:416:H3M2LDSXY:2:1511:8983:20556,TXNRD2,NM_006440,318,430,-,-
A00403:416:H3M2LDSXY:2:1509:26323:34053,TXNRD2,NM_006440,318,459,-,-
A00403:416:H3M2LDSXY:2:1224:4363:28244,TXNRD2,NM_006440,320,464,-,-
A00403:416:H3M2LDSXY:2:1318:21676:29669,TXNRD2,NM_006440,325,524,-,-
A00403:416:H3M2LDSXY:2:1232:4544:6637,TXNRD2,NM_006440,335,1355,-,-
A00403:416:H3M2LDSXY:2:1540:24867:8829,TXNRD2,NM_006440,344,834,-,-
A00403:416:H3M2LDSXY:2:1271:1859:35399,TXNRD2,NM_006440,350,452,-,-
A00403:416:H3M2LDSXY:2:1557:16550:5572,TXNRD2,NM_006440,352,525,-,-
A00403:416:H3M2LDSXY:2:2558:28040:6089,TXNRD2,NM_006440,368,741,-,-
A00403:416:H3M2LDSXY:2:2212:29215:3834,TXNRD2,NM_006440,372,531,-,-
A00403:416:H3M2LDSXY:2:1253:30915:19272,TXNRD2,NM_006440,372,847,-,-
A00403:416:H3M2LDSXY:2:1238:13277:35383,TXNRD2,NM_006440,377,741,-,-
A00403:416:H3M2LDSXY:2:1224:9715:8484,TXNRD2,NM_006440,395,761,-,-
A00403:416:H3M2LDSXY:2:1152:15863:21104,TXNRD2,NM_006440,402,551,-,-
A00403:416:H3M2LDSXY:2:1103:5050:6167,TXNRD2,NM_006440,414,672,+,+
A00403:416:H3M2LDSXY:2:1343:12536:12179,TXNRD2,NM_006440,424,525,-,-
A00403:416:H3M2LDSXY:2:1339:16966:15342,TXNRD2,NM_006440,452,512,+,+
