Gene,Transcript_Id,Length,Contact_Counts
DIO1,NM_000792,1861,0
DIO2,NM_013989,6148,0
DIO3,NM_001362,1958,0
GPX1,NM_000581,899,0
GPX2,NM_002083,922,4
GPX3,NM_002084,1603,1
GPX4,NM_002085,851,117
GPX6,NM_182701,1712,1
MSRB1,NM_016332,1277,12
SELENOF,NM_004261,1542,25
SELENOH,NM_170746,1192,85
SELENOI,NM_033505,8066,48
SELENOK,NM_021237,1497,14
SELENOM,NM_080430,694,2
SELENON,NM_020451,4314,75
SELENOO,NM_031454,2283,58
SELENOP,NM_005410,2056,2
SELENOS,NM_018445,1218,14
SELENOT,NM_016275,3437,20
SELENOV,NM_182704,1667,0
SELENOW,NM_003009,758,19
SEPHS2,NM_012248,2244,143
TXNRD1,NM_001093771,3860,67
TXNRD2,NM_006440,1941,74
TXNRD3,NM_052883,2921,0
MALAT1,NR_002819,7472,11659
NEAT1,NR_028272,3756,1734
