read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00838:54:HLWYKDSXX:2:2423:15076:10692,GPX1,NM_000581,270,347,-,-
A00838:54:HLWYKDSXX:2:1270:24252:15029,GPX1,NM_000581,271,347,-,-
A00838:54:HLWYKDSXX:2:1452:15383:9408,GPX1,NM_000581,276,347,-,-
A00838:54:HLWYKDSXX:2:1119:32651:13291,GPX1,NM_000581,276,534,-,-
A00838:54:HLWYKDSXX:2:1674:30951:5963,GPX1,NM_000581,287,347,-,-
A00838:54:HLWYKDSXX:2:1450:20455:23735,GPX1,NM_000581,289,303,-,-
A00838:54:HLWYKDSXX:2:1504:9299:29246,GPX1,NM_000581,302,347,-,-
A00838:54:HLWYKDSXX:2:2621:9155:31532,GPX1,NM_000581,311,347,-,-
A00838:54:HLWYKDSXX:2:2211:25120:4382,GPX1,NM_000581,315,347,-,-
A00838:54:HLWYKDSXX:2:1459:20817:20729,GPX1,NM_000581,317,347,-,-
A00838:54:HLWYKDSXX:2:2658:24126:36667,GPX1,NM_000581,318,347,+,+
A00838:54:HLWYKDSXX:2:1474:7853:6793,GPX1,NM_000581,322,347,-,-
A00838:54:HLWYKDSXX:2:2113:7645:35149,GPX1,NM_000581,324,347,-,-
A00838:54:HLWYKDSXX:2:2164:15112:18521,GPX1,NM_000581,324,825,-,-
A00838:54:HLWYKDSXX:2:1648:19515:30405,GPX1,NM_000581,325,347,-,-
A00838:54:HLWYKDSXX:2:2173:2591:11647,GPX1,NM_000581,327,347,-,-
A00838:54:HLWYKDSXX:2:2519:26341:2456,GPX1,NM_000581,347,411,-,-
A00838:54:HLWYKDSXX:2:2307:16378:19617,GPX1,NM_000581,372,493,-,-
A00838:54:HLWYKDSXX:2:1154:21549:23531,GPX1,NM_000581,381,891,-,-
A00838:54:HLWYKDSXX:2:2264:15203:14951,GPX1,NM_000581,389,891,-,-
A00838:54:HLWYKDSXX:2:1168:18747:31673,GPX1,NM_000581,400,518,-,-
A00838:54:HLWYKDSXX:2:1413:4209:18239,GPX1,NM_000581,448,470,-,-
A00838:54:HLWYKDSXX:2:1434:9480:19445,GPX1,NM_000581,451,493,-,-
A00838:54:HLWYKDSXX:2:1372:10972:35712,GPX1,NM_000581,466,949,-,-
A00838:54:HLWYKDSXX:2:1507:32344:14857,GPX1,NM_000581,491,516,-,-
A00838:54:HLWYKDSXX:2:1273:29677:33066,GPX1,NM_000581,496,600,-,-
A00838:54:HLWYKDSXX:2:1504:32244:4946,GPX1,NM_000581,496,644,-,-
A00838:54:HLWYKDSXX:2:2146:7826:8500,GPX1,NM_000581,502,547,-,-
A00838:54:HLWYKDSXX:2:1117:11984:5995,GPX1,NM_000581,508,561,-,-
A00838:54:HLWYKDSXX:2:1406:30029:30953,GPX1,NM_000581,528,682,-,-
A00838:54:HLWYKDSXX:2:2133:8901:2973,GPX1,NM_000581,535,648,-,-
A00838:54:HLWYKDSXX:2:2461:19976:15233,GPX1,NM_000581,559,575,-,-
A00838:54:HLWYKDSXX:2:2164:3170:5822,GPX1,NM_000581,589,603,-,-
A00838:54:HLWYKDSXX:2:1474:13132:27774,GPX1,NM_000581,629,783,-,-
A00838:54:HLWYKDSXX:2:1315:17499:33583,GPX1,NM_000581,661,814,-,-
A00838:54:HLWYKDSXX:2:1504:9995:25473,GPX1,NM_000581,661,816,-,-
A00838:54:HLWYKDSXX:2:2106:25446:15718,GPX1,NM_000581,671,742,-,-
A00838:54:HLWYKDSXX:2:2620:8006:23625,GPX1,NM_000581,685,694,-,-
A00838:54:HLWYKDSXX:2:1421:31430:9831,GPX1,NM_000581,697,736,-,-
A00838:54:HLWYKDSXX:2:2543:29722:12446,GPX1,NM_000581,874,892,-,-
A00838:54:HLWYKDSXX:2:2238:22354:22545,TXNRD1,NM_001093771,401,418,-,-
A00838:54:HLWYKDSXX:2:1564:2645:24893,TXNRD1,NM_001093771,498,519,-,-
A00838:54:HLWYKDSXX:2:2303:3929:6543,TXNRD1,NM_001093771,539,539,-,-
A00838:54:HLWYKDSXX:2:1630:16324:28260,TXNRD1,NM_001093771,708,737,-,-
A00838:54:HLWYKDSXX:2:2446:23538:4492,TXNRD1,NM_001093771,821,828,-,-
A00838:54:HLWYKDSXX:2:1224:19705:13573,TXNRD1,NM_001093771,1312,1314,-,-
A00838:54:HLWYKDSXX:2:1135:24442:11350,TXNRD1,NM_001093771,1375,1421,-,-
A00838:54:HLWYKDSXX:2:2163:16685:7498,TXNRD1,NM_001093771,1596,1641,-,-
A00838:54:HLWYKDSXX:2:2245:2682:7513,TXNRD1,NM_001093771,1642,1650,-,-
A00838:54:HLWYKDSXX:2:1465:30508:18881,TXNRD1,NM_001093771,1973,2156,-,-
A00838:54:HLWYKDSXX:2:1162:22028:25175,TXNRD1,NM_001093771,2034,2064,-,-
A00838:54:HLWYKDSXX:2:2119:16857:28839,TXNRD1,NM_001093771,2171,2237,-,-
A00838:54:HLWYKDSXX:2:1546:24180:32878,TXNRD1,NM_001093771,2710,2773,-,-
A00838:54:HLWYKDSXX:2:1323:13593:32362,TXNRD1,NM_001093771,3462,3491,-,-
A00838:54:HLWYKDSXX:2:1133:15456:17425,TXNRD1,NM_001093771,3474,3504,-,-
A00838:54:HLWYKDSXX:2:2643:17219:3067,TXNRD1,NM_001093771,3496,3496,-,-
A00838:54:HLWYKDSXX:2:1135:29532:29309,TXNRD1,NM_001093771,3621,3665,-,-
A00838:54:HLWYKDSXX:2:1245:3206:31219,GPX2,NM_002083,924,971,-,-
A00838:54:HLWYKDSXX:2:2565:11794:9330,GPX3,NM_002084,471,566,-,-
A00838:54:HLWYKDSXX:2:1422:31476:4961,GPX3,NM_002084,740,829,-,-
A00838:54:HLWYKDSXX:2:1124:4038:4539,GPX3,NM_002084,1603,1671,-,-
A00838:54:HLWYKDSXX:2:1113:14913:25817,GPX4,NM_002085,131,569,-,-
A00838:54:HLWYKDSXX:2:2326:29903:19742,GPX4,NM_002085,138,598,-,-
A00838:54:HLWYKDSXX:2:1141:5746:16986,GPX4,NM_002085,146,320,-,-
A00838:54:HLWYKDSXX:2:2516:14290:34695,GPX4,NM_002085,148,189,-,-
A00838:54:HLWYKDSXX:2:2626:28140:10958,GPX4,NM_002085,148,205,-,-
A00838:54:HLWYKDSXX:2:1110:2383:31641,GPX4,NM_002085,151,301,-,-
A00838:54:HLWYKDSXX:2:2214:19895:9956,GPX4,NM_002085,171,845,-,-
A00838:54:HLWYKDSXX:2:2265:7464:23531,GPX4,NM_002085,172,229,+,+
A00838:54:HLWYKDSXX:2:1139:3613:22091,GPX4,NM_002085,175,204,-,-
A00838:54:HLWYKDSXX:2:1103:14995:12430,GPX4,NM_002085,188,388,-,-
A00838:54:HLWYKDSXX:2:2122:31204:26099,GPX4,NM_002085,188,419,-,-
A00838:54:HLWYKDSXX:2:1666:11623:8155,GPX4,NM_002085,209,501,-,-
A00838:54:HLWYKDSXX:2:2514:7491:28839,GPX4,NM_002085,252,417,-,-
A00838:54:HLWYKDSXX:2:2447:32579:3427,GPX4,NM_002085,257,298,-,-
A00838:54:HLWYKDSXX:2:2350:12952:14998,GPX4,NM_002085,275,298,-,-
A00838:54:HLWYKDSXX:2:1341:1651:10708,GPX4,NM_002085,281,387,-,-
A00838:54:HLWYKDSXX:2:2465:21866:32847,GPX4,NM_002085,290,628,+,+
A00838:54:HLWYKDSXX:2:1346:28438:2644,GPX4,NM_002085,297,388,-,-
A00838:54:HLWYKDSXX:2:1553:26476:16626,GPX4,NM_002085,315,392,-,-
A00838:54:HLWYKDSXX:2:1248:29939:35117,GPX4,NM_002085,318,382,-,-
A00838:54:HLWYKDSXX:2:1459:14561:28025,GPX4,NM_002085,325,414,-,-
A00838:54:HLWYKDSXX:2:2669:8151:22874,GPX4,NM_002085,328,430,-,-
A00838:54:HLWYKDSXX:2:1509:7012:6339,GPX4,NM_002085,336,427,-,-
A00838:54:HLWYKDSXX:2:2125:22164:1767,GPX4,NM_002085,338,381,-,-
