read_id,gene_name,transcript_id,position1,position2,strand1,strand2
VH01331:45:AACNJ7NM5:1:1610:11490:45603,TXNRD1,NM_001093771,322,398,-,-
VH01331:45:AACNJ7NM5:1:1508:16868:4029,TXNRD1,NM_001093771,353,463,-,-
VH01331:45:AACNJ7NM5:1:1604:21791:24703,TXNRD1,NM_001093771,366,435,-,-
VH01331:45:AACNJ7NM5:1:2601:33096:54672,TXNRD1,NM_001093771,368,370,-,-
VH01331:45:AACNJ7NM5:1:1406:19784:52305,TXNRD1,NM_001093771,371,3353,-,-
VH01331:45:AACNJ7NM5:1:1303:37716:13400,TXNRD1,NM_001093771,390,518,+,+
VH01331:45:AACNJ7NM5:1:1505:41882:29947,TXNRD1,NM_001093771,402,529,-,-
VH01331:45:AACNJ7NM5:1:1102:18743:29909,TXNRD1,NM_001093771,447,481,-,-
VH01331:45:AACNJ7NM5:1:1409:40310:26217,TXNRD1,NM_001093771,548,582,-,-
VH01331:45:AACNJ7NM5:1:1610:30180:32559,TXNRD1,NM_001093771,575,582,-,-
VH01331:45:AACNJ7NM5:1:2611:13441:29455,TXNRD1,NM_001093771,600,600,-,-
VH01331:45:AACNJ7NM5:1:1401:34383:48651,TXNRD1,NM_001093771,606,656,-,-
VH01331:45:AACNJ7NM5:1:2506:69092:13571,TXNRD1,NM_001093771,621,767,-,-
VH01331:45:AACNJ7NM5:1:1302:33134:45622,TXNRD1,NM_001093771,624,733,-,-
VH01331:45:AACNJ7NM5:1:1405:20522:52135,TXNRD1,NM_001093771,624,736,-,-
VH01331:45:AACNJ7NM5:1:1404:54531:43691,TXNRD1,NM_001093771,636,756,-,-
VH01331:45:AACNJ7NM5:1:1109:28229:7702,TXNRD1,NM_001093771,639,662,-,-
VH01331:45:AACNJ7NM5:1:2509:15694:43900,TXNRD1,NM_001093771,676,837,-,-
VH01331:45:AACNJ7NM5:1:1406:22757:1738,TXNRD1,NM_001093771,679,687,-,-
VH01331:45:AACNJ7NM5:1:1101:13062:10901,TXNRD1,NM_001093771,700,768,-,-
VH01331:45:AACNJ7NM5:1:1403:13081:14631,TXNRD1,NM_001093771,700,798,-,-
VH01331:45:AACNJ7NM5:1:1404:31770:26463,TXNRD1,NM_001093771,703,793,-,-
VH01331:45:AACNJ7NM5:1:2211:33815:2382,TXNRD1,NM_001093771,717,724,-,-
VH01331:45:AACNJ7NM5:1:2101:52467:42839,TXNRD1,NM_001093771,717,725,-,-
VH01331:45:AACNJ7NM5:1:2603:53319:16997,TXNRD1,NM_001093771,725,729,-,-
