read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00268:500:H3L5JDSXY:2:1122:4074:6668,TXNRD1,NM_001093771,400,485,-,-
A00268:500:H3L5JDSXY:2:2355:25084:29778,TXNRD1,NM_001093771,424,532,-,-
A00268:500:H3L5JDSXY:2:2219:1597:11428,TXNRD1,NM_001093771,443,487,-,-
A00268:500:H3L5JDSXY:2:2219:1714:11162,TXNRD1,NM_001093771,443,489,-,-
A00268:500:H3L5JDSXY:2:1524:8739:4319,TXNRD1,NM_001093771,456,482,-,-
A00268:500:H3L5JDSXY:2:1529:4110:1532,TXNRD1,NM_001093771,509,524,-,-
A00268:500:H3L5JDSXY:2:1528:13467:1892,TXNRD1,NM_001093771,514,737,-,-
A00268:500:H3L5JDSXY:2:2338:13331:31281,TXNRD1,NM_001093771,526,526,-,-
A00268:500:H3L5JDSXY:2:1238:13467:8563,TXNRD1,NM_001093771,699,714,-,-
A00268:500:H3L5JDSXY:2:1466:1479:31328,TXNRD1,NM_001093771,702,3327,-,-
A00268:500:H3L5JDSXY:2:1309:12201:6965,TXNRD1,NM_001093771,731,762,-,-
A00268:500:H3L5JDSXY:2:2318:1226:11350,TXNRD1,NM_001093771,733,736,-,-
A00268:500:H3L5JDSXY:2:2536:29677:26303,TXNRD1,NM_001093771,736,770,-,-
A00268:500:H3L5JDSXY:2:1428:25834:10974,TXNRD1,NM_001093771,800,817,-,-
A00268:500:H3L5JDSXY:2:1337:29713:6073,TXNRD1,NM_001093771,802,817,-,-
A00268:500:H3L5JDSXY:2:1124:19370:35383,TXNRD1,NM_001093771,841,912,-,-
A00268:500:H3L5JDSXY:2:1107:18358:19789,TXNRD1,NM_001093771,854,886,-,-
A00268:500:H3L5JDSXY:2:1173:8250:12649,TXNRD1,NM_001093771,869,915,-,-
A00268:500:H3L5JDSXY:2:1439:13702:20118,TXNRD1,NM_001093771,876,913,-,-
A00268:500:H3L5JDSXY:2:1202:1678:24345,TXNRD1,NM_001093771,881,888,-,-
A00268:500:H3L5JDSXY:2:1347:29785:9361,TXNRD1,NM_001093771,886,934,-,-
A00268:500:H3L5JDSXY:2:1448:18511:20838,TXNRD1,NM_001093771,887,888,-,-
A00268:500:H3L5JDSXY:2:1335:24017:20134,TXNRD1,NM_001093771,1150,1275,-,-
A00268:500:H3L5JDSXY:2:2653:26087:16955,TXNRD1,NM_001093771,1159,1159,-,-
A00268:500:H3L5JDSXY:2:2248:26187:29778,TXNRD1,NM_001093771,1164,1198,-,-
A00268:500:H3L5JDSXY:2:2557:14082:4617,TXNRD1,NM_001093771,1182,1191,-,-
A00268:500:H3L5JDSXY:2:1609:7247:24659,TXNRD1,NM_001093771,1197,1264,-,-
A00268:500:H3L5JDSXY:2:1650:4797:12023,TXNRD1,NM_001093771,1197,1265,-,-
A00268:500:H3L5JDSXY:2:1111:3007:32002,TXNRD1,NM_001093771,1216,1410,-,-
A00268:500:H3L5JDSXY:2:1206:2049:23015,TXNRD1,NM_001093771,1227,1345,-,-
A00268:500:H3L5JDSXY:2:1601:2889:28980,TXNRD1,NM_001093771,1231,1348,-,-
A00268:500:H3L5JDSXY:2:2254:30255:7921,TXNRD1,NM_001093771,1245,1285,-,-
A00268:500:H3L5JDSXY:2:1452:15591:7795,TXNRD1,NM_001093771,1245,1313,-,-
