Gene,Canonical Transcript,Length
DIO1,NM_000792,1861
DIO2,NM_013989,6148
DIO3,NM_001362,1958
GPX1,NM_000581,899
GPX2,NM_002083,922
GPX3,NM_002084,1603
GPX4,NM_002085,851
GPX6,NM_182701,1712
MSRB1,NM_016332,1277
SELENOF,NM_004261,1542
SELENOH,NM_170746,1192
SELENOI,NM_033505,8066
SELENOK,NM_021237,1497
SELENOM,NM_080430,694
SELENON,NM_020451,4314
SELENOO,NM_031454,2283
SELENOP,NM_005410,2056
SELENOS,NM_018445,1218
SELENOT,NM_016275,3437
SELENOV,NM_182704,1667
SELENOW,NM_003009,758
SEPHS2,NM_012248,2244
TXNRD1,NM_001093771,3860
TXNRD2,NM_006440,1941
TXNRD3,NM_052883,2921
MALAT1,NR_002819,7472
NEAT1,NR_028272,3756
