Gene,Transcript_Id,Length,Contact_Counts
DIO1,NM_000792,1869,0
DIO2,NM_013989,6148,0
DIO3,NM_001362,2120,0
GPX1,NM_000581,1175,6
GPX2,NM_002083,1105,2
GPX3,NM_002084,1805,5
GPX4,NM_002085,936,98
GPX6,NM_182701,1712,1
MSRB1,NM_016332,1414,8
SELENOF,NM_004261,1796,21
SELENOH,NM_170746,1448,87
SELENOI,NM_033505,8143,45
SELENOK,NM_021237,1109,17
SELENOM,NM_080430,741,7
SELENON,NM_020451,4357,53
SELENOO,NM_031454,2327,57
SELENOP,NM_005410,2255,2
SELENOS,NM_018445,1262,22
SELENOT,NM_016275,3527,36
SELENOV,NM_182704,1704,0
SELENOW,NM_003009,905,24
SEPHS2,NM_012248,2351,112
TXNRD1,NM_001093771,3869,115
TXNRD2,NM_006440,2127,64
TXNRD3,NM_052883,2912,1
MALAT1,NR_002819,8779,16447
NEAT1,NR_028272,3756,3427
