read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00682:15:HFC3KDSXX:2:1176:9435:20682,GPX1,NM_000581,276,347,-,-
A00682:15:HFC3KDSXX:2:2245:5963:19272,GPX1,NM_000581,281,347,-,-
A00682:15:HFC3KDSXX:2:2357:25102:34882,GPX1,NM_000581,285,344,-,-
A00682:15:HFC3KDSXX:2:1643:11189:2174,GPX1,NM_000581,288,347,-,-
A00682:15:HFC3KDSXX:2:1165:13169:8108,GPX1,NM_000581,299,344,-,-
A00682:15:HFC3KDSXX:2:2163:13810:3803,GPX1,NM_000581,305,344,-,-
A00682:15:HFC3KDSXX:2:2308:13440:15655,GPX1,NM_000581,307,344,-,-
A00682:15:HFC3KDSXX:2:1341:26567:29997,GPX1,NM_000581,308,344,-,-
A00682:15:HFC3KDSXX:2:1129:8504:17503,GPX1,NM_000581,310,347,-,-
A00682:15:HFC3KDSXX:2:1574:2347:30639,GPX1,NM_000581,317,344,-,-
A00682:15:HFC3KDSXX:2:1143:25301:15217,GPX1,NM_000581,317,347,-,-
A00682:15:HFC3KDSXX:2:2230:21757:4163,GPX1,NM_000581,321,347,-,-
A00682:15:HFC3KDSXX:2:1401:8260:35305,GPX1,NM_000581,325,344,-,-
A00682:15:HFC3KDSXX:2:1414:16902:6840,GPX1,NM_000581,327,344,-,-
A00682:15:HFC3KDSXX:2:1336:5846:14465,GPX1,NM_000581,329,347,-,-
A00682:15:HFC3KDSXX:2:2578:1271:22075,GPX1,NM_000581,434,469,-,-
A00682:15:HFC3KDSXX:2:2239:9317:35947,GPX1,NM_000581,434,520,-,-
A00682:15:HFC3KDSXX:2:1221:26006:34663,GPX1,NM_000581,502,914,-,-
A00682:15:HFC3KDSXX:2:1614:27588:32831,GPX1,NM_000581,632,693,-,-
A00682:15:HFC3KDSXX:2:2410:9887:34835,GPX1,NM_000581,704,704,-,-
A00682:15:HFC3KDSXX:2:2516:22589:7733,TXNRD1,NM_001093771,533,547,-,-
A00682:15:HFC3KDSXX:2:1436:25427:4539,TXNRD1,NM_001093771,1330,1380,-,-
A00682:15:HFC3KDSXX:2:1132:2781:16611,TXNRD1,NM_001093771,1678,1687,-,-
A00682:15:HFC3KDSXX:2:2301:19497:25300,TXNRD1,NM_001093771,1678,1708,-,-
A00682:15:HFC3KDSXX:2:2624:32090:15890,TXNRD1,NM_001093771,1678,1709,-,-
A00682:15:HFC3KDSXX:2:1504:10619:8735,TXNRD1,NM_001093771,2141,2230,-,-
A00682:15:HFC3KDSXX:2:1268:7129:16000,TXNRD1,NM_001093771,2575,2602,-,-
A00682:15:HFC3KDSXX:2:1203:28402:28980,TXNRD1,NM_001093771,3449,3503,-,-
A00682:15:HFC3KDSXX:2:2202:11614:29465,GPX2,NM_002083,199,217,+,+
A00682:15:HFC3KDSXX:2:1110:3125:20776,GPX2,NM_002083,226,281,-,-
A00682:15:HFC3KDSXX:2:1154:22028:30655,GPX2,NM_002083,313,358,-,-
