read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00403:117:HGT25DSXX:2:1247:21929:22435,GPX1,NM_000581,278,344,-,-
A00403:117:HGT25DSXX:2:2454:22426:36605,GPX1,NM_000581,289,347,-,-
A00403:117:HGT25DSXX:2:2534:25201:20744,GPX1,NM_000581,302,344,-,-
A00403:117:HGT25DSXX:2:1227:32190:34788,GPX1,NM_000581,302,347,-,-
A00403:117:HGT25DSXX:2:1354:24695:35117,GPX1,NM_000581,309,347,-,-
A00403:117:HGT25DSXX:2:2361:12400:9659,GPX1,NM_000581,315,347,-,-
A00403:117:HGT25DSXX:2:2417:9643:9580,GPX1,NM_000581,316,347,-,-
A00403:117:HGT25DSXX:2:1433:31937:1720,GPX1,NM_000581,327,344,-,-
A00403:117:HGT25DSXX:2:2321:15239:9565,GPX1,NM_000581,327,347,-,-
A00403:117:HGT25DSXX:2:2569:6099:36260,GPX1,NM_000581,329,347,-,-
A00403:117:HGT25DSXX:2:1417:23891:24737,GPX1,NM_000581,329,364,-,-
A00403:117:HGT25DSXX:2:1443:4670:7012,GPX1,NM_000581,367,463,+,+
A00403:117:HGT25DSXX:2:1223:15311:29356,GPX1,NM_000581,390,485,-,-
A00403:117:HGT25DSXX:2:1455:23954:33552,GPX1,NM_000581,447,916,-,-
A00403:117:HGT25DSXX:2:1121:18267:26459,GPX1,NM_000581,447,958,-,-
A00403:117:HGT25DSXX:2:1141:5674:8155,GPX1,NM_000581,462,468,+,+
A00403:117:HGT25DSXX:2:1255:1108:30342,GPX1,NM_000581,514,630,-,-
A00403:117:HGT25DSXX:2:2338:13693:4914,GPX1,NM_000581,525,630,-,-
A00403:117:HGT25DSXX:2:2464:26874:7670,GPX1,NM_000581,535,537,-,-
A00403:117:HGT25DSXX:2:2523:18521:21825,GPX1,NM_000581,660,715,-,-
A00403:117:HGT25DSXX:2:2264:9950:14935,TXNRD1,NM_001093771,330,489,+,+
A00403:117:HGT25DSXX:2:2625:11659:17300,TXNRD1,NM_001093771,450,453,-,-
A00403:117:HGT25DSXX:2:1134:12572:4100,TXNRD1,NM_001093771,472,497,-,-
A00403:117:HGT25DSXX:2:1120:4327:10802,TXNRD1,NM_001093771,510,512,-,-
A00403:117:HGT25DSXX:2:2242:13684:18176,TXNRD1,NM_001093771,512,513,-,-
A00403:117:HGT25DSXX:2:1256:27570:7153,TXNRD1,NM_001093771,706,721,-,-
A00403:117:HGT25DSXX:2:1264:2148:14418,TXNRD1,NM_001093771,810,956,-,-
A00403:117:HGT25DSXX:2:1262:25554:4664,TXNRD1,NM_001093771,877,912,-,-
A00403:117:HGT25DSXX:2:1272:31304:7075,TXNRD1,NM_001093771,1130,1226,-,-
A00403:117:HGT25DSXX:2:1339:15266:28463,TXNRD1,NM_001093771,1300,1360,-,-
A00403:117:HGT25DSXX:2:2444:2546:3114,TXNRD1,NM_001093771,1306,1341,-,-
A00403:117:HGT25DSXX:2:2565:16929:12336,TXNRD1,NM_001093771,1325,1375,-,-
A00403:117:HGT25DSXX:2:1415:27498:35931,TXNRD1,NM_001093771,1329,1360,-,-
A00403:117:HGT25DSXX:2:2339:29315:18223,TXNRD1,NM_001093771,1338,1391,-,-
A00403:117:HGT25DSXX:2:1478:18611:31250,TXNRD1,NM_001093771,1614,1615,-,-
A00403:117:HGT25DSXX:2:1145:7862:34585,TXNRD1,NM_001093771,1926,2145,-,-
A00403:117:HGT25DSXX:2:1323:11885:23797,TXNRD1,NM_001093771,2713,2715,-,-
A00403:117:HGT25DSXX:2:1340:14253:17127,TXNRD1,NM_001093771,3494,3503,-,-
A00403:117:HGT25DSXX:2:2562:14290:3944,GPX2,NM_002083,179,402,-,-
A00403:117:HGT25DSXX:2:2324:10520:21872,GPX2,NM_002083,274,345,-,-
A00403:117:HGT25DSXX:2:1157:16486:28166,GPX2,NM_002083,313,418,-,-
A00403:117:HGT25DSXX:2:1124:14371:9972,GPX2,NM_002083,344,372,-,-
A00403:117:HGT25DSXX:2:1221:6008:8735,GPX2,NM_002083,377,488,-,-
A00403:117:HGT25DSXX:2:1615:21802:2926,GPX2,NM_002083,390,413,-,-
A00403:117:HGT25DSXX:2:2501:6976:5901,GPX2,NM_002083,400,480,-,-
A00403:117:HGT25DSXX:2:1447:24198:13150,GPX2,NM_002083,400,498,-,-
A00403:117:HGT25DSXX:2:2157:13765:20823,GPX2,NM_002083,497,751,+,+
A00403:117:HGT25DSXX:2:1275:2754:23578,GPX2,NM_002083,503,586,-,-
A00403:117:HGT25DSXX:2:1228:2510:5588,GPX2,NM_002083,504,578,-,-
A00403:117:HGT25DSXX:2:1254:30508:10332,GPX2,NM_002083,519,520,-,-
A00403:117:HGT25DSXX:2:1258:28953:28682,GPX2,NM_002083,538,685,-,-
A00403:117:HGT25DSXX:2:1115:22417:28291,GPX2,NM_002083,555,682,+,+
A00403:117:HGT25DSXX:2:1652:2781:34147,GPX2,NM_002083,560,563,-,-
A00403:117:HGT25DSXX:2:2555:11822:23093,GPX2,NM_002083,590,615,-,-
A00403:117:HGT25DSXX:2:2124:7220:15499,GPX2,NM_002083,596,667,-,-
A00403:117:HGT25DSXX:2:1320:30725:3850,GPX2,NM_002083,603,653,-,-
A00403:117:HGT25DSXX:2:1563:26585:7576,GPX2,NM_002083,621,665,-,-
A00403:117:HGT25DSXX:2:1374:18078:11788,GPX2,NM_002083,628,746,-,-
A00403:117:HGT25DSXX:2:1237:15555:24706,GPX2,NM_002083,628,850,+,+
A00403:117:HGT25DSXX:2:2107:7003:19413,GPX2,NM_002083,629,888,+,+
A00403:117:HGT25DSXX:2:1347:16929:36010,GPX2,NM_002083,639,728,-,-
A00403:117:HGT25DSXX:2:2234:32841:2722,GPX2,NM_002083,646,692,-,-
A00403:117:HGT25DSXX:2:2462:23357:28541,GPX2,NM_002083,654,671,-,-
A00403:117:HGT25DSXX:2:2425:6596:33959,GPX2,NM_002083,656,705,+,+
A00403:117:HGT25DSXX:2:2455:31150:18020,GPX2,NM_002083,660,663,+,+
A00403:117:HGT25DSXX:2:1317:17390:13761,GPX2,NM_002083,662,662,-,-
A00403:117:HGT25DSXX:2:2219:32063:21136,GPX2,NM_002083,672,672,-,-
A00403:117:HGT25DSXX:2:1138:20283:4679,GPX2,NM_002083,685,685,+,+
A00403:117:HGT25DSXX:2:2430:1154:5243,GPX2,NM_002083,685,686,+,+
A00403:117:HGT25DSXX:2:1148:8639:34240,GPX2,NM_002083,685,688,+,+
A00403:117:HGT25DSXX:2:1644:5113:19711,GPX2,NM_002083,685,761,-,-
A00403:117:HGT25DSXX:2:1248:18502:13275,GPX2,NM_002083,687,749,+,+
A00403:117:HGT25DSXX:2:1238:11957:11866,GPX2,NM_002083,700,730,-,-
A00403:117:HGT25DSXX:2:1608:24695:34240,GPX2,NM_002083,708,804,-,-
A00403:117:HGT25DSXX:2:1177:5421:3051,GPX2,NM_002083,749,767,-,-
A00403:117:HGT25DSXX:2:1324:26802:5635,GPX2,NM_002083,766,785,-,-
A00403:117:HGT25DSXX:2:1308:10872:15843,GPX2,NM_002083,817,915,+,+
A00403:117:HGT25DSXX:2:2176:2672:33395,GPX2,NM_002083,822,847,-,-
A00403:117:HGT25DSXX:2:2147:11261:33176,GPX2,NM_002083,865,898,+,+
A00403:117:HGT25DSXX:2:1106:17011:2957,GPX2,NM_002083,875,1008,-,-
A00403:117:HGT25DSXX:2:2338:16477:19601,GPX2,NM_002083,881,1000,-,-
A00403:117:HGT25DSXX:2:1401:9200:11945,GPX2,NM_002083,886,886,-,-
A00403:117:HGT25DSXX:2:1543:4237:21668,GPX2,NM_002083,913,1026,+,+
A00403:117:HGT25DSXX:2:1634:28158:9706,GPX2,NM_002083,959,1008,-,-
A00403:117:HGT25DSXX:2:1468:7762:13432,GPX3,NM_002084,185,193,-,-
A00403:117:HGT25DSXX:2:1334:9173:6386,GPX3,NM_002084,201,253,-,-
A00403:117:HGT25DSXX:2:2233:2889:32518,GPX3,NM_002084,241,267,-,-
A00403:117:HGT25DSXX:2:2413:18105:5603,GPX3,NM_002084,317,397,-,-
A00403:117:HGT25DSXX:2:1355:23909:17065,GPX3,NM_002084,830,911,-,-
A00403:117:HGT25DSXX:2:2455:28420:23876,GPX3,NM_002084,863,1513,+,+
A00403:117:HGT25DSXX:2:1569:14534:31234,GPX3,NM_002084,1306,1469,-,-
A00403:117:HGT25DSXX:2:2577:6370:3818,GPX3,NM_002084,1366,1385,-,-
