Gene,Transcript_Id,Length,Contact_Counts
DIO1,NM_000792,1869,0
DIO2,NM_013989,6148,0
DIO3,NM_001362,2120,3
GPX1,NM_000581,1175,0
GPX2,NM_002083,1105,3
GPX3,NM_002084,1805,3
GPX4,NM_002085,936,131
GPX6,NM_182701,1712,1
MSRB1,NM_016332,1414,26
SELENOF,NM_004261,1796,21
SELENOH,NM_170746,1448,64
SELENOI,NM_033505,8143,50
SELENOK,NM_021237,1109,7
SELENOM,NM_080430,741,8
SELENON,NM_020451,4357,65
SELENOO,NM_031454,2327,22
SELENOP,NM_005410,2255,2
SELENOS,NM_018445,1262,12
SELENOT,NM_016275,3527,15
SELENOV,NM_182704,1704,2
SELENOW,NM_003009,905,29
SEPHS2,NM_012248,2351,91
TXNRD1,NM_001093771,3869,37
TXNRD2,NM_006440,2127,41
TXNRD3,NM_052883,2912,0
MALAT1,NR_002819,8779,5991
NEAT1,NR_028272,3756,178
