Gene,Transcript_Id,Length,Contact_Counts
DIO1,NM_000792,1869,0
DIO2,NM_013989,6148,0
DIO3,NM_001362,2120,0
GPX1,NM_000581,1175,2
GPX2,NM_002083,1105,0
GPX3,NM_002084,1805,4
GPX4,NM_002085,936,31
GPX6,NM_182701,1712,1
MSRB1,NM_016332,1414,7
SELENOF,NM_004261,1796,1
SELENOH,NM_170746,1448,17
SELENOI,NM_033505,8143,40
SELENOK,NM_021237,1109,1
SELENOM,NM_080430,741,3
SELENON,NM_020451,4357,52
SELENOO,NM_031454,2327,59
SELENOP,NM_005410,2255,0
SELENOS,NM_018445,1262,5
SELENOT,NM_016275,3527,7
SELENOV,NM_182704,1704,0
SELENOW,NM_003009,905,8
SEPHS2,NM_012248,2351,21
TXNRD1,NM_001093771,3869,5
TXNRD2,NM_006440,2127,88
TXNRD3,NM_052883,2912,3
MALAT1,NR_002819,8779,21607
NEAT1,NR_028272,3756,3227
