read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00838:54:HLWYKDSXX:2:2505:18439:12352,TXNRD1,NM_001093771,325,3367,-,-
A00838:54:HLWYKDSXX:2:2416:26313:8140,TXNRD1,NM_001093771,392,392,-,-
A00838:54:HLWYKDSXX:2:1204:22345:26381,TXNRD1,NM_001093771,399,752,-,-
A00838:54:HLWYKDSXX:2:1419:12274:19241,TXNRD1,NM_001093771,524,564,-,-
A00838:54:HLWYKDSXX:2:1123:32678:26616,TXNRD1,NM_001093771,626,626,-,-
A00838:54:HLWYKDSXX:2:2439:17499:32925,TXNRD1,NM_001093771,843,888,-,-
A00838:54:HLWYKDSXX:2:2314:17861:24408,TXNRD1,NM_001093771,866,884,-,-
A00838:54:HLWYKDSXX:2:1516:31702:20322,TXNRD1,NM_001093771,884,912,-,-
A00838:54:HLWYKDSXX:2:1402:10276:34413,TXNRD1,NM_001093771,889,912,-,-
A00838:54:HLWYKDSXX:2:2113:24632:35822,TXNRD1,NM_001093771,985,1341,-,-
A00838:54:HLWYKDSXX:2:2349:14959:5478,TXNRD1,NM_001093771,1039,1320,-,-
A00838:54:HLWYKDSXX:2:1238:1045:36370,TXNRD1,NM_001093771,1110,1175,-,-
A00838:54:HLWYKDSXX:2:1343:32145:32550,TXNRD1,NM_001093771,1277,1318,-,-
A00838:54:HLWYKDSXX:2:1156:8269:12211,TXNRD1,NM_001093771,1292,1437,-,-
A00838:54:HLWYKDSXX:2:2403:4526:34820,TXNRD1,NM_001093771,1308,3497,-,-
A00838:54:HLWYKDSXX:2:2229:30183:15875,TXNRD1,NM_001093771,1331,1340,-,-
A00838:54:HLWYKDSXX:2:1503:18204:6934,TXNRD1,NM_001093771,1366,1410,-,-
A00838:54:HLWYKDSXX:2:1550:8305:20134,TXNRD1,NM_001093771,1407,1771,-,-
A00838:54:HLWYKDSXX:2:2563:27389:21809,TXNRD1,NM_001093771,1437,1468,-,-
A00838:54:HLWYKDSXX:2:2217:28311:12602,TXNRD1,NM_001093771,1464,1465,-,-
A00838:54:HLWYKDSXX:2:1404:27010:3615,TXNRD1,NM_001093771,1565,1617,-,-
A00838:54:HLWYKDSXX:2:1117:10917:1924,TXNRD1,NM_001093771,1596,1620,-,-
A00838:54:HLWYKDSXX:2:1232:12075:20932,TXNRD1,NM_001093771,1624,1647,-,-
A00838:54:HLWYKDSXX:2:1523:13169:30091,TXNRD1,NM_001093771,1643,1887,-,-
A00838:54:HLWYKDSXX:2:2420:15854:32925,TXNRD1,NM_001093771,1813,1822,-,-
A00838:54:HLWYKDSXX:2:2353:1976:33692,TXNRD1,NM_001093771,1880,2258,-,-
A00838:54:HLWYKDSXX:2:1210:2835:25692,TXNRD1,NM_001093771,1926,1983,-,-
A00838:54:HLWYKDSXX:2:1166:27850:29841,TXNRD1,NM_001093771,2404,2555,-,-
A00838:54:HLWYKDSXX:2:1546:20546:4476,TXNRD1,NM_001093771,2619,2619,-,-
A00838:54:HLWYKDSXX:2:2563:28935:13933,TXNRD1,NM_001093771,2635,2642,-,-
A00838:54:HLWYKDSXX:2:1537:19696:15781,TXNRD1,NM_001093771,2744,2768,-,-
A00838:54:HLWYKDSXX:2:1677:31105:8735,TXNRD1,NM_001093771,2750,2750,-,-
A00838:54:HLWYKDSXX:2:1359:9742:4210,TXNRD1,NM_001093771,2753,2756,-,-
A00838:54:HLWYKDSXX:2:2147:27697:11350,TXNRD1,NM_001093771,2804,2820,-,-
A00838:54:HLWYKDSXX:2:2151:10746:15280,TXNRD1,NM_001093771,3001,3108,-,-
A00838:54:HLWYKDSXX:2:1336:10185:13119,TXNRD1,NM_001093771,3022,3532,-,-
A00838:54:HLWYKDSXX:2:1106:27028:21652,TXNRD1,NM_001093771,3472,3472,-,-
A00838:54:HLWYKDSXX:2:1450:31991:5071,TXNRD1,NM_001093771,3488,3532,-,-
A00838:54:HLWYKDSXX:2:2628:14380:21793,TXNRD1,NM_001093771,3495,3497,-,-
A00838:54:HLWYKDSXX:2:2456:14000:32503,DIO3,NM_001362,841,918,-,-
A00838:54:HLWYKDSXX:2:1208:3188:14528,DIO3,NM_001362,1280,1299,+,+
A00838:54:HLWYKDSXX:2:2469:17083:33833,GPX3,NM_002084,56,141,+,+
A00838:54:HLWYKDSXX:2:2225:9453:35994,GPX3,NM_002084,101,238,-,-
A00838:54:HLWYKDSXX:2:1318:1588:23531,GPX3,NM_002084,701,824,+,+
A00838:54:HLWYKDSXX:2:1539:7093:2347,GPX3,NM_002084,705,824,+,+
A00838:54:HLWYKDSXX:2:1617:26775:19993,GPX3,NM_002084,1426,1486,-,-
A00838:54:HLWYKDSXX:2:1576:17047:8625,GPX4,NM_002085,134,240,-,-
A00838:54:HLWYKDSXX:2:2110:18954:21605,GPX4,NM_002085,138,611,-,-
A00838:54:HLWYKDSXX:2:2105:28230:32722,GPX4,NM_002085,145,628,-,-
A00838:54:HLWYKDSXX:2:2557:12183:5181,GPX4,NM_002085,148,221,-,-
A00838:54:HLWYKDSXX:2:2605:16676:35759,GPX4,NM_002085,155,268,-,-
A00838:54:HLWYKDSXX:2:2223:5656:31923,GPX4,NM_002085,163,625,-,-
A00838:54:HLWYKDSXX:2:1209:13187:7451,GPX4,NM_002085,164,618,-,-
A00838:54:HLWYKDSXX:2:1663:1253:5979,GPX4,NM_002085,174,383,-,-
A00838:54:HLWYKDSXX:2:2142:27724:36417,GPX4,NM_002085,182,203,-,-
A00838:54:HLWYKDSXX:2:2673:21585:30264,GPX4,NM_002085,185,265,-,-
A00838:54:HLWYKDSXX:2:1623:28013:8328,GPX4,NM_002085,202,301,+,+
A00838:54:HLWYKDSXX:2:2455:24234:29403,GPX4,NM_002085,206,329,-,-
A00838:54:HLWYKDSXX:2:1143:29704:27539,GPX4,NM_002085,207,329,-,-
A00838:54:HLWYKDSXX:2:2332:17544:27430,GPX4,NM_002085,207,373,-,-
A00838:54:HLWYKDSXX:2:1303:2284:3787,GPX4,NM_002085,207,442,-,-
A00838:54:HLWYKDSXX:2:2128:9191:21762,GPX4,NM_002085,214,388,-,-
A00838:54:HLWYKDSXX:2:1520:29387:20885,GPX4,NM_002085,219,288,-,-
A00838:54:HLWYKDSXX:2:2536:11478:4147,GPX4,NM_002085,222,283,-,-
A00838:54:HLWYKDSXX:2:1364:7753:3959,GPX4,NM_002085,224,440,-,-
A00838:54:HLWYKDSXX:2:1361:9914:20885,GPX4,NM_002085,225,478,-,-
A00838:54:HLWYKDSXX:2:2449:30282:19586,GPX4,NM_002085,232,290,-,-
A00838:54:HLWYKDSXX:2:1147:4951:6809,GPX4,NM_002085,232,614,-,-
A00838:54:HLWYKDSXX:2:1152:16541:29042,GPX4,NM_002085,233,431,-,-
A00838:54:HLWYKDSXX:2:1475:8024:10817,GPX4,NM_002085,234,605,-,-
A00838:54:HLWYKDSXX:2:1161:4616:26396,GPX4,NM_002085,235,302,-,-
A00838:54:HLWYKDSXX:2:1377:3748:6511,GPX4,NM_002085,235,336,-,-
A00838:54:HLWYKDSXX:2:1369:15808:27931,GPX4,NM_002085,245,383,-,-
A00838:54:HLWYKDSXX:2:2159:28953:21136,GPX4,NM_002085,247,379,-,-
A00838:54:HLWYKDSXX:2:1646:29532:18192,GPX4,NM_002085,253,632,-,-
A00838:54:HLWYKDSXX:2:2554:8232:1125,GPX4,NM_002085,257,290,-,-
A00838:54:HLWYKDSXX:2:1475:11885:36511,GPX4,NM_002085,257,389,-,-
A00838:54:HLWYKDSXX:2:1347:12943:19648,GPX4,NM_002085,263,567,-,-
A00838:54:HLWYKDSXX:2:1458:17779:21292,GPX4,NM_002085,264,433,-,-
A00838:54:HLWYKDSXX:2:2345:16495:26240,GPX4,NM_002085,265,368,-,-
A00838:54:HLWYKDSXX:2:1457:14335:36996,GPX4,NM_002085,265,382,-,-
A00838:54:HLWYKDSXX:2:2248:18891:30483,GPX4,NM_002085,266,379,-,-
A00838:54:HLWYKDSXX:2:2310:31982:29042,GPX4,NM_002085,269,386,-,-
A00838:54:HLWYKDSXX:2:1357:32805:5321,GPX4,NM_002085,269,425,-,-
A00838:54:HLWYKDSXX:2:1161:20003:3818,GPX4,NM_002085,270,298,-,-
A00838:54:HLWYKDSXX:2:1519:28167:36432,GPX4,NM_002085,270,387,-,-
A00838:54:HLWYKDSXX:2:1642:13991:33646,GPX4,NM_002085,271,289,-,-
A00838:54:HLWYKDSXX:2:1177:6460:25238,GPX4,NM_002085,272,386,-,-
A00838:54:HLWYKDSXX:2:2107:10384:32252,GPX4,NM_002085,273,287,-,-
A00838:54:HLWYKDSXX:2:2544:17716:36182,GPX4,NM_002085,274,377,-,-
A00838:54:HLWYKDSXX:2:2273:2320:13683,GPX4,NM_002085,276,389,-,-
A00838:54:HLWYKDSXX:2:1125:21658:7122,GPX4,NM_002085,283,368,-,-
A00838:54:HLWYKDSXX:2:2437:28420:7811,GPX4,NM_002085,289,308,-,-
A00838:54:HLWYKDSXX:2:1151:12644:17503,GPX4,NM_002085,295,429,-,-
A00838:54:HLWYKDSXX:2:1413:2844:23453,GPX4,NM_002085,296,478,-,-
A00838:54:HLWYKDSXX:2:1141:22218:13510,GPX4,NM_002085,308,352,-,-
A00838:54:HLWYKDSXX:2:2275:25608:20228,GPX4,NM_002085,308,385,-,-
A00838:54:HLWYKDSXX:2:1423:26765:27618,GPX4,NM_002085,309,431,-,-
A00838:54:HLWYKDSXX:2:2571:22643:1752,GPX4,NM_002085,312,431,-,-
A00838:54:HLWYKDSXX:2:1149:2908:18584,GPX4,NM_002085,315,389,-,-
A00838:54:HLWYKDSXX:2:2364:12997:34585,GPX4,NM_002085,316,490,-,-
A00838:54:HLWYKDSXX:2:1140:6479:28682,GPX4,NM_002085,325,389,-,-
A00838:54:HLWYKDSXX:2:2629:5475:16141,GPX4,NM_002085,327,389,-,-
A00838:54:HLWYKDSXX:2:1115:21685:1157,GPX4,NM_002085,332,570,-,-
A00838:54:HLWYKDSXX:2:2267:23466:33708,GPX4,NM_002085,332,662,-,-
A00838:54:HLWYKDSXX:2:1351:14154:30044,GPX4,NM_002085,336,642,-,-
A00838:54:HLWYKDSXX:2:2429:7988:12164,GPX4,NM_002085,337,435,-,-
A00838:54:HLWYKDSXX:2:2329:21974:26897,GPX4,NM_002085,338,451,-,-
A00838:54:HLWYKDSXX:2:1503:19506:17801,GPX4,NM_002085,339,527,-,-
A00838:54:HLWYKDSXX:2:1462:13051:36025,GPX4,NM_002085,347,425,-,-
A00838:54:HLWYKDSXX:2:2676:9914:2534,GPX4,NM_002085,348,521,-,-
A00838:54:HLWYKDSXX:2:2362:16477:11960,GPX4,NM_002085,352,505,-,-
A00838:54:HLWYKDSXX:2:2206:24343:22232,GPX4,NM_002085,354,377,-,-
