read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00639:1051:H2YJWDRX2:1:2108:23068:19085,GPX1,NM_000581,407,551,-,-
A00639:1051:H2YJWDRX2:1:2158:12735:33160,TXNRD1,NM_001093771,1143,1191,-,-
A00639:1051:H2YJWDRX2:2:2107:30906:18161,TXNRD1,NM_001093771,1299,1299,-,-
A00639:1051:H2YJWDRX2:1:2140:13440:8735,TXNRD1,NM_001093771,1324,1338,-,-
A00639:1051:H2YJWDRX2:1:2154:6976:19742,TXNRD1,NM_001093771,2631,2744,-,-
A00639:1051:H2YJWDRX2:1:2116:25364:9533,TXNRD1,NM_001093771,2631,2747,-,-
A00639:1051:H2YJWDRX2:1:2156:26973:10097,GPX2,NM_002083,552,605,-,-
A00639:1051:H2YJWDRX2:1:2120:13928:10802,GPX2,NM_002083,553,605,-,-
A00639:1051:H2YJWDRX2:1:2143:11171:5776,GPX2,NM_002083,763,765,-,-
A00639:1051:H2YJWDRX2:1:2151:6912:26647,GPX2,NM_002083,860,860,+,+
A00639:1051:H2YJWDRX2:1:2233:10691:2754,GPX2,NM_002083,928,1005,-,-
A00639:1051:H2YJWDRX2:2:2142:20265:31422,GPX3,NM_002084,1298,1451,-,-
A00639:1051:H2YJWDRX2:1:2101:13557:1016,GPX4,NM_002085,164,255,-,-
A00639:1051:H2YJWDRX2:2:2139:6370:8923,GPX4,NM_002085,165,255,-,-
A00639:1051:H2YJWDRX2:1:2129:11957:27618,GPX4,NM_002085,166,255,-,-
A00639:1051:H2YJWDRX2:1:2129:12744:27790,GPX4,NM_002085,167,255,-,-
A00639:1051:H2YJWDRX2:1:2231:4155:5713,GPX4,NM_002085,234,326,-,-
A00639:1051:H2YJWDRX2:1:2121:18304:29872,GPX4,NM_002085,273,441,-,-
A00639:1051:H2YJWDRX2:1:2157:25319:28870,GPX4,NM_002085,459,663,-,-
A00639:1051:H2YJWDRX2:1:2104:21956:17033,GPX4,NM_002085,460,620,-,-
A00639:1051:H2YJWDRX2:1:2272:3251:23124,SELENOF,NM_004261,240,621,-,-
A00639:1051:H2YJWDRX2:1:2167:2591:5916,SELENOP,NM_005410,182,248,-,-
A00639:1051:H2YJWDRX2:1:2254:29243:33786,SELENOP,NM_005410,185,313,-,-
A00639:1051:H2YJWDRX2:1:2115:7563:35133,SELENOP,NM_005410,809,1358,-,-
A00639:1051:H2YJWDRX2:2:2201:14172:17331,SELENOP,NM_005410,953,976,+,+
A00639:1051:H2YJWDRX2:1:2139:13503:12226,SELENOP,NM_005410,962,962,-,-
A00639:1051:H2YJWDRX2:1:2169:10746:15342,SELENOP,NM_005410,1215,1289,-,-
A00639:1051:H2YJWDRX2:1:2123:1642:22091,SELENOP,NM_005410,1242,1287,-,-
A00639:1051:H2YJWDRX2:2:2143:2103:11772,SELENOP,NM_005410,1593,1763,-,-
A00639:1051:H2YJWDRX2:2:2248:7889:30937,SELENOP,NM_005410,1594,1763,-,-
A00639:1051:H2YJWDRX2:2:2103:12662:4633,SELENOP,NM_005410,1595,1763,-,-
A00639:1051:H2YJWDRX2:1:2216:30083:32487,SELENOP,NM_005410,1596,1644,-,-
A00639:1051:H2YJWDRX2:1:2105:12943:1297,SELENOP,NM_005410,1596,1763,-,-
A00639:1051:H2YJWDRX2:1:2103:28465:14027,SEPHS2,NM_012248,269,474,-,-
A00639:1051:H2YJWDRX2:1:2119:22878:23265,SEPHS2,NM_012248,270,474,-,-
A00639:1051:H2YJWDRX2:1:2126:11044:28009,SEPHS2,NM_012248,1100,1380,-,-
A00639:1051:H2YJWDRX2:2:2239:4065:35931,SEPHS2,NM_012248,1789,1796,-,-
A00639:1051:H2YJWDRX2:1:2134:27760:23484,SELENOS,NM_018445,727,748,-,-
A00639:1051:H2YJWDRX2:1:2267:31385:25911,SELENOO,NM_031454,1923,2109,-,-
A00639:1051:H2YJWDRX2:1:2106:14841:7341,SELENOI,NM_033505,1004,1048,-,-
A00639:1051:H2YJWDRX2:2:2241:21829:31720,SELENOI,NM_033505,1004,1050,-,-
A00639:1051:H2YJWDRX2:1:2166:8612:14184,SELENOI,NM_033505,2554,2855,-,-
A00639:1051:H2YJWDRX2:2:2135:24749:23406,SELENOI,NM_033505,5631,5923,-,-
A00639:1051:H2YJWDRX2:1:2105:25988:5165,SELENOI,NM_033505,6592,6936,-,-
A00639:1051:H2YJWDRX2:2:2106:24632:24862,SELENOH,NM_170746,379,443,-,-
A00639:1051:H2YJWDRX2:1:2157:32127:20087,MALAT1,NR_002819,595,1710,-,-
A00639:1051:H2YJWDRX2:1:2137:23574:31391,MALAT1,NR_002819,615,2038,-,-
A00639:1051:H2YJWDRX2:2:2213:24171:2018,MALAT1,NR_002819,828,1710,-,-
A00639:1051:H2YJWDRX2:1:2108:21260:28698,MALAT1,NR_002819,1305,1475,-,-
A00639:1051:H2YJWDRX2:1:2101:23936:9815,MALAT1,NR_002819,1305,1505,-,-
A00639:1051:H2YJWDRX2:2:2273:7030:23531,MALAT1,NR_002819,1305,1608,-,-
A00639:1051:H2YJWDRX2:1:2250:32271:16047,MALAT1,NR_002819,1305,1609,-,-
A00639:1051:H2YJWDRX2:1:2119:30228:13135,MALAT1,NR_002819,1308,1331,-,-
