Gene,Transcript_Id,Length,Contact_Counts
DIO1,NM_000792,1869,0
DIO2,NM_013989,6148,0
DIO3,NM_001362,2120,1
GPX1,NM_000581,1175,1
GPX2,NM_002083,1105,2
GPX3,NM_002084,1805,3
GPX4,NM_002085,936,133
GPX6,NM_182701,1712,0
MSRB1,NM_016332,1414,18
SELENOF,NM_004261,1796,22
SELENOH,NM_170746,1448,72
SELENOI,NM_033505,8143,55
SELENOK,NM_021237,1109,5
SELENOM,NM_080430,741,6
SELENON,NM_020451,4357,73
SELENOO,NM_031454,2327,43
SELENOP,NM_005410,2255,2
SELENOS,NM_018445,1262,17
SELENOT,NM_016275,3527,24
SELENOV,NM_182704,1704,1
SELENOW,NM_003009,905,15
SEPHS2,NM_012248,2351,110
TXNRD1,NM_001093771,3869,55
TXNRD2,NM_006440,2127,61
TXNRD3,NM_052883,2912,3
MALAT1,NR_002819,8779,9596
NEAT1,NR_028272,3756,1465
