read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00639:1136:H53GLDRX2:2:2270:17336:27665,GPX1,NM_000581,500,626,+,+
A00639:1136:H53GLDRX2:2:2265:11044:13197,GPX1,NM_000581,718,757,-,-
A00639:1136:H53GLDRX2:2:2159:13033:27946,TXNRD1,NM_001093771,333,361,-,-
A00639:1136:H53GLDRX2:1:2228:2013:6793,TXNRD1,NM_001093771,349,538,-,-
A00639:1136:H53GLDRX2:2:2125:10312:7138,TXNRD1,NM_001093771,384,425,+,+
A00639:1136:H53GLDRX2:1:2138:22806:34820,TXNRD1,NM_001093771,424,454,-,-
A00639:1136:H53GLDRX2:1:2134:29143:12164,TXNRD1,NM_001093771,427,451,-,-
A00639:1136:H53GLDRX2:1:2132:28736:25175,TXNRD1,NM_001093771,427,454,-,-
A00639:1136:H53GLDRX2:1:2258:10529:23077,TXNRD1,NM_001093771,432,460,-,-
A00639:1136:H53GLDRX2:1:2255:10393:15170,TXNRD1,NM_001093771,445,481,-,-
A00639:1136:H53GLDRX2:1:2252:11785:8594,TXNRD1,NM_001093771,510,582,-,-
A00639:1136:H53GLDRX2:2:2217:4616:13369,TXNRD1,NM_001093771,522,587,-,-
A00639:1136:H53GLDRX2:2:2216:5376:14465,TXNRD1,NM_001093771,595,668,-,-
A00639:1136:H53GLDRX2:2:2117:26937:28322,TXNRD1,NM_001093771,595,732,-,-
A00639:1136:H53GLDRX2:2:2163:20274:20885,TXNRD1,NM_001093771,620,735,-,-
A00639:1136:H53GLDRX2:1:2138:7663:8938,TXNRD1,NM_001093771,620,747,-,-
A00639:1136:H53GLDRX2:1:2209:25762:11663,TXNRD1,NM_001093771,631,668,-,-
A00639:1136:H53GLDRX2:1:2138:20166:36542,TXNRD1,NM_001093771,638,723,-,-
A00639:1136:H53GLDRX2:1:2169:31150:11663,TXNRD1,NM_001093771,638,724,-,-
A00639:1136:H53GLDRX2:1:2250:22327:21214,TXNRD1,NM_001093771,669,683,-,-
A00639:1136:H53GLDRX2:1:2205:24966:20087,TXNRD1,NM_001093771,669,686,-,-
A00639:1136:H53GLDRX2:2:2172:26639:19194,TXNRD1,NM_001093771,687,729,-,-
A00639:1136:H53GLDRX2:2:2175:13105:36839,TXNRD1,NM_001093771,696,748,-,-
A00639:1136:H53GLDRX2:1:2219:32226:12649,TXNRD1,NM_001093771,696,749,-,-
A00639:1136:H53GLDRX2:2:2259:9127:26694,TXNRD1,NM_001093771,706,789,-,-
