read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00679:195:HLW25DSXX:4:1175:4472:19946,TXNRD1,NM_001093771,39,1599,-,-
A00679:195:HLW25DSXX:4:1367:18747:30452,TXNRD1,NM_001093771,322,379,-,-
A00679:195:HLW25DSXX:4:2354:24686:26897,TXNRD1,NM_001093771,353,441,-,-
A00679:195:HLW25DSXX:4:1220:31919:21731,TXNRD1,NM_001093771,379,398,-,-
A00679:195:HLW25DSXX:4:2163:10339:36370,TXNRD1,NM_001093771,384,448,+,+
A00679:195:HLW25DSXX:4:1549:4110:11584,TXNRD1,NM_001093771,388,449,-,-
A00679:195:HLW25DSXX:4:1268:17562:18944,TXNRD1,NM_001093771,452,463,-,-
A00679:195:HLW25DSXX:4:2352:15465:22388,TXNRD1,NM_001093771,527,585,-,-
A00679:195:HLW25DSXX:4:2328:7591:15515,TXNRD1,NM_001093771,560,632,-,-
A00679:195:HLW25DSXX:4:1140:15808:15906,TXNRD1,NM_001093771,583,737,-,-
A00679:195:HLW25DSXX:4:2202:3956:35055,TXNRD1,NM_001093771,608,726,-,-
A00679:195:HLW25DSXX:4:2472:32199:13479,TXNRD1,NM_001093771,631,632,-,-
A00679:195:HLW25DSXX:4:1575:32090:32142,TXNRD1,NM_001093771,650,699,-,-
A00679:195:HLW25DSXX:4:2219:21450:4476,TXNRD1,NM_001093771,679,693,-,-
A00679:195:HLW25DSXX:4:1452:32551:24518,TXNRD1,NM_001093771,740,816,-,-
A00679:195:HLW25DSXX:4:1622:22119:34162,TXNRD1,NM_001093771,767,773,-,-
A00679:195:HLW25DSXX:4:2562:14950:8093,TXNRD1,NM_001093771,772,821,-,-
A00679:195:HLW25DSXX:4:1356:12454:17926,TXNRD1,NM_001093771,780,780,-,-
A00679:195:HLW25DSXX:4:1202:24306:15217,TXNRD1,NM_001093771,781,815,-,-
A00679:195:HLW25DSXX:4:2620:15664:30123,TXNRD1,NM_001093771,801,817,-,-
A00679:195:HLW25DSXX:4:1629:18900:30154,TXNRD1,NM_001093771,874,884,-,-
A00679:195:HLW25DSXX:4:1656:21215:26741,TXNRD1,NM_001093771,874,978,-,-
A00679:195:HLW25DSXX:4:1125:5150:7999,TXNRD1,NM_001093771,1192,1247,-,-
A00679:195:HLW25DSXX:4:2522:27398:31532,TXNRD1,NM_001093771,1269,1285,-,-
A00679:195:HLW25DSXX:4:1267:29017:16955,TXNRD1,NM_001093771,1299,1340,-,-
A00679:195:HLW25DSXX:4:1134:6488:35023,TXNRD1,NM_001093771,1300,1305,-,-
A00679:195:HLW25DSXX:4:2442:19723:15264,TXNRD1,NM_001093771,1301,1305,-,-
A00679:195:HLW25DSXX:4:1416:30065:4053,TXNRD1,NM_001093771,1314,1407,-,-
A00679:195:HLW25DSXX:4:2221:25283:26710,TXNRD1,NM_001093771,1316,1341,-,-
A00679:195:HLW25DSXX:4:2333:3721:14857,TXNRD1,NM_001093771,1342,1379,-,-
A00679:195:HLW25DSXX:4:1160:31123:23641,TXNRD1,NM_001093771,1346,1387,-,-
A00679:195:HLW25DSXX:4:2558:31566:7717,TXNRD1,NM_001093771,1346,1424,-,-
A00679:195:HLW25DSXX:4:1305:12029:8672,TXNRD1,NM_001093771,1358,1364,-,-
A00679:195:HLW25DSXX:4:1351:21441:21684,TXNRD1,NM_001093771,1367,1505,-,-
A00679:195:HLW25DSXX:4:1365:23122:33520,TXNRD1,NM_001093771,1372,1414,-,-
A00679:195:HLW25DSXX:4:1475:28556:25582,TXNRD1,NM_001093771,1387,1388,-,-
A00679:195:HLW25DSXX:4:1548:28546:30702,TXNRD1,NM_001093771,1395,1440,-,-
A00679:195:HLW25DSXX:4:2262:19985:18380,TXNRD1,NM_001093771,1591,1641,-,-
A00679:195:HLW25DSXX:4:2651:2573:13557,TXNRD1,NM_001093771,1599,1599,-,-
A00679:195:HLW25DSXX:4:2251:7139:32643,TXNRD1,NM_001093771,1608,1614,-,-
A00679:195:HLW25DSXX:4:1604:5222:27978,TXNRD1,NM_001093771,1608,1615,-,-
A00679:195:HLW25DSXX:4:1360:21495:33332,TXNRD1,NM_001093771,1618,1669,-,-
A00679:195:HLW25DSXX:4:2173:6605:23797,TXNRD1,NM_001093771,1621,1621,-,-
A00679:195:HLW25DSXX:4:1305:31711:15640,TXNRD1,NM_001093771,1628,1628,-,-
A00679:195:HLW25DSXX:4:2501:15230:33755,TXNRD1,NM_001093771,1631,1631,-,-
A00679:195:HLW25DSXX:4:2119:10963:18537,TXNRD1,NM_001093771,1640,1641,-,-
A00679:195:HLW25DSXX:4:1506:17517:7560,TXNRD1,NM_001093771,1897,1985,-,-
A00679:195:HLW25DSXX:4:1420:22905:8218,TXNRD1,NM_001093771,1909,2022,-,-
A00679:195:HLW25DSXX:4:1373:26259:30029,TXNRD1,NM_001093771,1912,2186,-,-
