read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00639:426:HTYK2DRXX:2:2146:21314:36996,GPX1,NM_000581,374,925,+,+
A00639:436:HVNTHDRXX:1:2269:21640:9533,GPX1,NM_000581,563,626,+,+
A00639:436:HVNTHDRXX:2:2129:32271:26318,GPX1,NM_000581,823,979,+,+
A00639:436:HVNTHDRXX:2:1101:2293:2018,TXNRD1,NM_001093771,411,874,-,-
A00639:436:HVNTHDRXX:1:2140:20302:15483,TXNRD1,NM_001093771,412,874,-,-
A00639:426:HTYK2DRXX:2:2139:19949:22263,TXNRD1,NM_001093771,719,724,-,-
A00639:426:HTYK2DRXX:2:2231:25762:4460,TXNRD1,NM_001093771,1228,1248,-,-
A00639:426:HTYK2DRXX:2:2228:21685:1595,TXNRD1,NM_001093771,1617,1822,-,-
A00639:426:HTYK2DRXX:2:2241:26576:15546,TXNRD1,NM_001093771,1830,1869,-,-
A00639:426:HTYK2DRXX:1:2229:21187:34334,GPX2,NM_002083,571,574,+,+
A00639:436:HVNTHDRXX:2:1205:8449:20885,GPX2,NM_002083,705,816,+,+
A00639:426:HTYK2DRXX:2:2152:4426:22780,GPX3,NM_002084,145,225,+,+
A00639:436:HVNTHDRXX:2:1163:22417:6872,GPX3,NM_002084,701,877,+,+
A00639:436:HVNTHDRXX:1:2122:19786:13964,GPX3,NM_002084,1219,1249,+,+
A00639:426:HTYK2DRXX:2:2150:12228:10300,GPX3,NM_002084,1348,1397,+,+
A00639:426:HTYK2DRXX:1:2255:7030:5525,GPX4,NM_002085,235,381,-,-
A00639:426:HTYK2DRXX:1:2227:1777:34381,GPX4,NM_002085,254,401,-,-
A00639:436:HVNTHDRXX:1:2204:13358:23844,GPX4,NM_002085,321,413,-,-
A00639:436:HVNTHDRXX:2:1226:1651:1877,GPX4,NM_002085,326,377,-,-
A00639:436:HVNTHDRXX:1:2163:21432:29559,GPX4,NM_002085,366,447,-,-
A00639:426:HTYK2DRXX:1:2266:12418:19774,GPX4,NM_002085,398,431,-,-
A00639:436:HVNTHDRXX:1:1206:8585:15233,GPX4,NM_002085,433,605,-,-
A00639:436:HVNTHDRXX:2:2215:14461:8750,GPX4,NM_002085,511,518,+,+
A00639:436:HVNTHDRXX:1:1243:24713:30921,GPX4,NM_002085,667,821,-,-
A00639:436:HVNTHDRXX:1:2258:31530:6621,GPX4,NM_002085,679,822,-,-
A00639:426:HTYK2DRXX:2:2251:23900:7247,GPX4,NM_002085,688,848,-,-
A00639:436:HVNTHDRXX:1:2152:22209:30436,GPX4,NM_002085,691,758,+,+
A00639:436:HVNTHDRXX:1:1214:11406:11162,GPX4,NM_002085,701,867,-,-
A00639:436:HVNTHDRXX:2:2131:29080:6574,GPX4,NM_002085,708,802,-,-
A00639:436:HVNTHDRXX:1:1225:26277:31407,GPX4,NM_002085,712,844,-,-
A00639:426:HTYK2DRXX:2:2207:18331:18897,GPX4,NM_002085,716,830,-,-
A00639:436:HVNTHDRXX:1:1159:26304:34303,GPX4,NM_002085,731,798,-,-
A00639:436:HVNTHDRXX:1:1250:13648:3082,SELENOW,NM_003009,119,345,-,-
A00639:426:HTYK2DRXX:1:2219:6072:33489,SELENOW,NM_003009,692,760,-,-
A00639:436:HVNTHDRXX:1:1142:24406:12633,SELENOF,NM_004261,701,844,-,-
A00639:426:HTYK2DRXX:2:2243:2293:17174,SELENOF,NM_004261,954,1041,-,-
A00639:436:HVNTHDRXX:2:1242:1479:16423,TXNRD2,NM_006440,6,45,+,+
A00639:436:HVNTHDRXX:2:2210:13973:32800,TXNRD2,NM_006440,28,95,+,+
A00639:436:HVNTHDRXX:1:2256:31937:23484,TXNRD2,NM_006440,42,233,-,-
A00639:426:HTYK2DRXX:2:2113:2889:19867,TXNRD2,NM_006440,63,146,-,-
A00639:436:HVNTHDRXX:2:1175:16622:2973,TXNRD2,NM_006440,77,190,+,+
A00639:426:HTYK2DRXX:2:2227:1542:36918,TXNRD2,NM_006440,184,930,-,-
A00639:426:HTYK2DRXX:2:2270:1669:32189,TXNRD2,NM_006440,189,232,-,-
A00639:426:HTYK2DRXX:1:2145:15103:10645,TXNRD2,NM_006440,197,374,-,-
A00639:436:HVNTHDRXX:2:2119:26449:22936,TXNRD2,NM_006440,203,408,-,-
A00639:436:HVNTHDRXX:1:1166:25509:32863,TXNRD2,NM_006440,217,289,-,-
A00639:436:HVNTHDRXX:1:1255:27299:10817,TXNRD2,NM_006440,219,289,-,-
A00639:436:HVNTHDRXX:1:1272:10502:23563,TXNRD2,NM_006440,223,909,-,-
A00639:436:HVNTHDRXX:1:1118:20464:8500,TXNRD2,NM_006440,230,398,-,-
A00639:426:HTYK2DRXX:2:2174:7084:26193,TXNRD2,NM_006440,236,289,-,-
A00639:436:HVNTHDRXX:1:2173:29875:24048,TXNRD2,NM_006440,239,289,-,-
A00639:426:HTYK2DRXX:1:2230:12527:32894,TXNRD2,NM_006440,243,346,-,-
A00639:426:HTYK2DRXX:2:2156:19542:35900,TXNRD2,NM_006440,255,289,-,-
A00639:436:HVNTHDRXX:2:1236:15185:2331,TXNRD2,NM_006440,258,301,-,-
A00639:426:HTYK2DRXX:2:2276:29622:24674,TXNRD2,NM_006440,263,418,-,-
A00639:426:HTYK2DRXX:1:2160:16206:12461,TXNRD2,NM_006440,264,289,-,-
A00639:436:HVNTHDRXX:2:1229:13693:32565,TXNRD2,NM_006440,267,418,-,-
A00639:436:HVNTHDRXX:1:1148:30129:2848,TXNRD2,NM_006440,270,475,-,-
A00639:426:HTYK2DRXX:1:2243:10773:5337,TXNRD2,NM_006440,274,415,-,-
A00639:426:HTYK2DRXX:2:2139:1805:5243,TXNRD2,NM_006440,274,429,-,-
A00639:426:HTYK2DRXX:2:2215:29912:34287,TXNRD2,NM_006440,277,329,-,-
A00639:436:HVNTHDRXX:1:2160:24704:32847,TXNRD2,NM_006440,279,329,-,-
A00639:436:HVNTHDRXX:1:2237:17201:33724,TXNRD2,NM_006440,287,472,-,-
A00639:436:HVNTHDRXX:1:2237:17164:32816,TXNRD2,NM_006440,288,472,-,-
A00639:436:HVNTHDRXX:2:2229:6885:33896,TXNRD2,NM_006440,289,464,-,-
A00639:436:HVNTHDRXX:2:2227:3640:29496,TXNRD2,NM_006440,292,504,-,-
A00639:426:HTYK2DRXX:1:2167:8278:23218,TXNRD2,NM_006440,300,413,-,-
A00639:436:HVNTHDRXX:2:1269:7175:3302,TXNRD2,NM_006440,301,395,-,-
A00639:426:HTYK2DRXX:2:2128:22553:4914,TXNRD2,NM_006440,302,794,-,-
A00639:426:HTYK2DRXX:2:2106:11451:31187,TXNRD2,NM_006440,306,455,-,-
A00639:436:HVNTHDRXX:1:2262:26250:21245,TXNRD2,NM_006440,309,521,-,-
A00639:436:HVNTHDRXX:2:2226:4698:14293,TXNRD2,NM_006440,315,458,+,+
A00639:426:HTYK2DRXX:1:2119:16134:10238,TXNRD2,NM_006440,318,449,-,-
A00639:436:HVNTHDRXX:2:1235:23176:2738,TXNRD2,NM_006440,321,537,-,-
A00639:426:HTYK2DRXX:2:2243:29758:32080,TXNRD2,NM_006440,325,421,-,-
A00639:436:HVNTHDRXX:2:2221:23448:21966,TXNRD2,NM_006440,390,536,-,-
A00639:426:HTYK2DRXX:1:2227:24740:30561,TXNRD2,NM_006440,405,509,-,-
A00639:426:HTYK2DRXX:1:2227:22489:30984,TXNRD2,NM_006440,406,509,-,-
A00639:436:HVNTHDRXX:1:1232:31593:25927,TXNRD2,NM_006440,410,769,-,-
A00639:436:HVNTHDRXX:2:1269:4336:26036,TXNRD2,NM_006440,418,527,-,-
A00639:436:HVNTHDRXX:1:1133:28556:28902,TXNRD2,NM_006440,439,509,-,-
A00639:436:HVNTHDRXX:1:2269:19370:4601,TXNRD2,NM_006440,456,513,-,-
A00639:436:HVNTHDRXX:2:1114:22354:18349,TXNRD2,NM_006440,456,531,-,-
A00639:426:HTYK2DRXX:1:2248:16215:32424,TXNRD2,NM_006440,466,540,-,-
A00639:426:HTYK2DRXX:1:2228:6280:17190,TXNRD2,NM_006440,479,898,-,-
A00639:426:HTYK2DRXX:1:2242:15311:21715,TXNRD2,NM_006440,667,810,-,-
A00639:426:HTYK2DRXX:1:2208:1362:30843,TXNRD2,NM_006440,823,966,-,-
A00639:436:HVNTHDRXX:2:1233:19126:20306,TXNRD2,NM_006440,832,908,-,-
A00639:436:HVNTHDRXX:2:2209:20238:36385,TXNRD2,NM_006440,968,1524,-,-
A00639:426:HTYK2DRXX:1:2163:30834:32158,TXNRD2,NM_006440,969,1524,-,-
A00639:426:HTYK2DRXX:2:2229:4607:16110,TXNRD2,NM_006440,1013,1397,-,-
A00639:426:HTYK2DRXX:2:2231:3992:35650,TXNRD2,NM_006440,1021,1404,-,-
A00639:436:HVNTHDRXX:2:1113:10511:36636,TXNRD2,NM_006440,1070,1629,-,-
A00639:426:HTYK2DRXX:2:2252:18484:30968,TXNRD2,NM_006440,1092,2017,-,-
A00639:436:HVNTHDRXX:1:1167:10095:32377,TXNRD2,NM_006440,1122,1176,-,-
A00639:436:HVNTHDRXX:1:1259:24912:2394,TXNRD2,NM_006440,1159,1200,-,+
A00639:426:HTYK2DRXX:2:2270:28076:28980,TXNRD2,NM_006440,1190,1269,-,-
A00639:436:HVNTHDRXX:2:1211:21676:25347,TXNRD2,NM_006440,1299,1366,-,-
A00639:436:HVNTHDRXX:1:2219:16685:9846,TXNRD2,NM_006440,1380,1537,-,-
A00639:426:HTYK2DRXX:2:2114:14461:23281,TXNRD2,NM_006440,1401,1529,-,-
A00639:436:HVNTHDRXX:2:1160:23701:4711,TXNRD2,NM_006440,1403,1506,-,-
A00639:436:HVNTHDRXX:1:1202:23900:35305,TXNRD2,NM_006440,1403,1507,-,-
A00639:436:HVNTHDRXX:2:1133:19750:17315,TXNRD2,NM_006440,1405,1516,-,-
A00639:436:HVNTHDRXX:2:1169:14968:7310,TXNRD2,NM_006440,1406,1990,-,-
A00639:436:HVNTHDRXX:1:2111:23339:31234,TXNRD2,NM_006440,1462,1706,-,-
A00639:426:HTYK2DRXX:1:2129:32542:26099,TXNRD2,NM_006440,1497,1594,-,-
A00639:436:HVNTHDRXX:1:1139:21676:15765,TXNRD2,NM_006440,1514,1631,-,-
A00639:436:HVNTHDRXX:1:2250:13196:35336,TXNRD2,NM_006440,1517,1612,-,-
A00639:436:HVNTHDRXX:2:2145:25409:1344,TXNRD2,NM_006440,1570,1940,-,-
A00639:436:HVNTHDRXX:2:1134:18069:12430,TXNRD2,NM_006440,1605,1905,-,-
