read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00838:54:HLWYKDSXX:2:2246:28221:11913,GPX1,NM_000581,472,754,+,+
A00838:54:HLWYKDSXX:2:1340:25744:18834,TXNRD1,NM_001093771,343,436,-,-
A00838:54:HLWYKDSXX:2:2262:4481:19053,TXNRD1,NM_001093771,390,390,-,-
A00838:54:HLWYKDSXX:2:1434:22896:3129,TXNRD1,NM_001093771,394,394,-,-
A00838:54:HLWYKDSXX:2:2339:26151:18443,TXNRD1,NM_001093771,424,542,-,-
A00838:54:HLWYKDSXX:2:1564:7039:34381,TXNRD1,NM_001093771,471,489,-,-
A00838:54:HLWYKDSXX:2:1306:12391:9549,TXNRD1,NM_001093771,490,497,-,-
A00838:54:HLWYKDSXX:2:1240:19895:21981,TXNRD1,NM_001093771,626,768,-,-
A00838:54:HLWYKDSXX:2:1305:4906:20823,TXNRD1,NM_001093771,702,747,-,-
A00838:54:HLWYKDSXX:2:1662:26078:20823,TXNRD1,NM_001093771,732,773,-,-
A00838:54:HLWYKDSXX:2:2159:14940:23328,TXNRD1,NM_001093771,744,756,-,-
A00838:54:HLWYKDSXX:2:1647:23692:33880,TXNRD1,NM_001093771,790,790,-,-
A00838:54:HLWYKDSXX:2:1355:20772:33708,TXNRD1,NM_001093771,793,816,-,-
A00838:54:HLWYKDSXX:2:1232:24225:12633,TXNRD1,NM_001093771,801,862,-,-
A00838:54:HLWYKDSXX:2:1457:25057:35963,TXNRD1,NM_001093771,810,817,-,-
A00838:54:HLWYKDSXX:2:1428:14434:9267,TXNRD1,NM_001093771,1073,1558,-,-
A00838:54:HLWYKDSXX:2:2571:30427:18458,TXNRD1,NM_001093771,1171,1175,-,-
A00838:54:HLWYKDSXX:2:1667:29143:11600,TXNRD1,NM_001093771,1196,1234,-,-
A00838:54:HLWYKDSXX:2:2366:2085:18349,TXNRD1,NM_001093771,1275,1277,-,-
A00838:54:HLWYKDSXX:2:1633:13612:4961,TXNRD1,NM_001093771,1299,1305,-,-
A00838:54:HLWYKDSXX:2:1160:22697:36198,TXNRD1,NM_001093771,1312,1397,-,-
A00838:54:HLWYKDSXX:2:2553:19018:33395,TXNRD1,NM_001093771,1314,1319,-,-
A00838:54:HLWYKDSXX:2:1253:18475:34209,TXNRD1,NM_001093771,1320,1340,-,-
A00838:54:HLWYKDSXX:2:1630:7808:14356,TXNRD1,NM_001093771,1327,1330,-,-
A00838:54:HLWYKDSXX:2:1542:25608:30342,TXNRD1,NM_001093771,1327,1350,-,-
A00838:54:HLWYKDSXX:2:1357:12617:18082,TXNRD1,NM_001093771,1337,1345,-,-
A00838:54:HLWYKDSXX:2:1426:18313:21715,TXNRD1,NM_001093771,1348,1360,-,-
A00838:54:HLWYKDSXX:2:1528:11342:31469,TXNRD1,NM_001093771,1400,1510,-,-
A00838:54:HLWYKDSXX:2:2129:12418:32111,TXNRD1,NM_001093771,1424,1424,-,-
A00838:54:HLWYKDSXX:2:1111:25509:17456,TXNRD1,NM_001093771,1424,1518,-,-
A00838:54:HLWYKDSXX:2:2667:22408:27242,TXNRD1,NM_001093771,1426,1513,-,-
A00838:54:HLWYKDSXX:2:1107:21296:22028,TXNRD1,NM_001093771,1428,1472,-,-
A00838:54:HLWYKDSXX:2:2159:6162:36526,TXNRD1,NM_001093771,1441,1648,-,-
A00838:54:HLWYKDSXX:2:2645:5547:3208,TXNRD1,NM_001093771,1597,1624,-,-
A00838:54:HLWYKDSXX:2:1551:13702:20964,TXNRD1,NM_001093771,1620,1621,-,-
A00838:54:HLWYKDSXX:2:1526:8693:6903,TXNRD1,NM_001093771,1624,1641,-,-
A00838:54:HLWYKDSXX:2:2450:16613:36432,TXNRD1,NM_001093771,1630,1630,-,-
A00838:54:HLWYKDSXX:2:1273:29252:22717,TXNRD1,NM_001093771,1655,1710,-,-
A00838:54:HLWYKDSXX:2:2307:16089:32894,TXNRD1,NM_001093771,1951,2237,-,-
A00838:54:HLWYKDSXX:2:1560:20166:5729,TXNRD1,NM_001093771,2023,2071,-,-
A00838:54:HLWYKDSXX:2:1403:23113:35853,TXNRD1,NM_001093771,2118,2500,-,-
A00838:54:HLWYKDSXX:2:2158:17228:34303,TXNRD1,NM_001093771,2140,2176,-,-
A00838:54:HLWYKDSXX:2:1672:1371:18302,TXNRD1,NM_001093771,2160,2245,-,-
A00838:54:HLWYKDSXX:2:1616:32886:29168,TXNRD1,NM_001093771,2561,3485,-,-
A00838:54:HLWYKDSXX:2:1638:12735:6731,TXNRD1,NM_001093771,2634,2671,-,-
A00838:54:HLWYKDSXX:2:1276:24379:7482,TXNRD1,NM_001093771,2662,3384,+,+
A00838:54:HLWYKDSXX:2:1540:4526:22670,TXNRD1,NM_001093771,2704,2704,-,-
A00838:54:HLWYKDSXX:2:1262:18855:19053,TXNRD1,NM_001093771,2707,2708,-,-
A00838:54:HLWYKDSXX:2:1676:29414:30859,TXNRD1,NM_001093771,2707,2712,-,-
A00838:54:HLWYKDSXX:2:1449:18982:16767,TXNRD1,NM_001093771,2741,2745,-,-
A00838:54:HLWYKDSXX:2:2343:29731:31469,TXNRD1,NM_001093771,2744,2803,-,-
A00838:54:HLWYKDSXX:2:2108:24135:14199,TXNRD1,NM_001093771,2978,3015,-,-
A00838:54:HLWYKDSXX:2:1530:15555:18192,TXNRD1,NM_001093771,2998,3511,-,-
A00838:54:HLWYKDSXX:2:1268:25274:4366,TXNRD1,NM_001093771,3222,3408,-,-
A00838:54:HLWYKDSXX:2:1272:24722:7952,TXNRD1,NM_001093771,3287,3526,-,-
A00838:54:HLWYKDSXX:2:1605:13277:24862,TXNRD1,NM_001093771,3495,3526,-,-
A00838:54:HLWYKDSXX:2:1641:29405:6574,DIO3,NM_001362,1509,1509,-,-
A00838:54:HLWYKDSXX:2:1272:11098:4836,GPX2,NM_002083,464,779,+,+
A00838:54:HLWYKDSXX:2:2419:11831:29653,GPX2,NM_002083,879,889,+,+
A00838:54:HLWYKDSXX:2:1421:31828:4664,GPX3,NM_002084,5,41,+,+
A00838:54:HLWYKDSXX:2:2334:20021:24048,GPX3,NM_002084,1129,1311,+,+
A00838:54:HLWYKDSXX:2:1508:12319:3443,GPX3,NM_002084,1574,1618,+,+
A00838:54:HLWYKDSXX:2:1558:21386:21621,GPX4,NM_002085,135,173,-,-
A00838:54:HLWYKDSXX:2:1344:11614:35822,GPX4,NM_002085,138,241,-,-
A00838:54:HLWYKDSXX:2:2609:20193:10598,GPX4,NM_002085,138,306,-,-
A00838:54:HLWYKDSXX:2:1151:1660:30264,GPX4,NM_002085,141,206,-,-
A00838:54:HLWYKDSXX:2:1366:19244:35759,GPX4,NM_002085,145,265,-,-
A00838:54:HLWYKDSXX:2:1474:10167:20415,GPX4,NM_002085,148,237,-,-
A00838:54:HLWYKDSXX:2:1658:8350:32831,GPX4,NM_002085,163,233,-,-
A00838:54:HLWYKDSXX:2:2105:15781:2957,GPX4,NM_002085,167,223,-,-
A00838:54:HLWYKDSXX:2:1352:3332:30592,GPX4,NM_002085,167,252,-,-
A00838:54:HLWYKDSXX:2:1262:9245:13714,GPX4,NM_002085,173,401,-,-
A00838:54:HLWYKDSXX:2:1671:2971:20791,GPX4,NM_002085,186,444,-,-
A00838:54:HLWYKDSXX:2:1305:6596:12508,GPX4,NM_002085,200,412,-,-
A00838:54:HLWYKDSXX:2:2232:15176:31501,GPX4,NM_002085,201,232,-,-
A00838:54:HLWYKDSXX:2:2507:20980:2691,GPX4,NM_002085,204,279,-,-
A00838:54:HLWYKDSXX:2:2220:31955:15248,GPX4,NM_002085,205,377,-,-
A00838:54:HLWYKDSXX:2:1230:1967:26944,GPX4,NM_002085,208,384,-,-
A00838:54:HLWYKDSXX:2:1633:7048:28886,GPX4,NM_002085,209,386,-,-
A00838:54:HLWYKDSXX:2:1522:15501:31375,GPX4,NM_002085,229,266,-,-
A00838:54:HLWYKDSXX:2:1144:30906:14403,GPX4,NM_002085,234,470,-,-
A00838:54:HLWYKDSXX:2:1647:20491:26459,GPX4,NM_002085,244,306,-,-
A00838:54:HLWYKDSXX:2:1449:14073:21825,GPX4,NM_002085,245,386,-,-
A00838:54:HLWYKDSXX:2:2416:15546:21840,GPX4,NM_002085,245,387,-,-
A00838:54:HLWYKDSXX:2:2536:18502:25175,GPX4,NM_002085,257,382,-,-
A00838:54:HLWYKDSXX:2:1307:30789:26193,GPX4,NM_002085,259,470,-,-
A00838:54:HLWYKDSXX:2:1303:4987:23218,GPX4,NM_002085,261,406,-,-
A00838:54:HLWYKDSXX:2:2432:17996:22858,GPX4,NM_002085,264,379,-,-
A00838:54:HLWYKDSXX:2:1308:9417:4836,GPX4,NM_002085,266,369,-,-
A00838:54:HLWYKDSXX:2:2304:29921:10504,GPX4,NM_002085,268,432,-,-
A00838:54:HLWYKDSXX:2:1462:31937:36824,GPX4,NM_002085,289,373,-,-
A00838:54:HLWYKDSXX:2:1651:14308:14215,GPX4,NM_002085,289,386,-,-
A00838:54:HLWYKDSXX:2:1636:24849:34569,GPX4,NM_002085,289,389,-,-
A00838:54:HLWYKDSXX:2:1408:22055:6965,GPX4,NM_002085,289,443,-,-
A00838:54:HLWYKDSXX:2:1660:31186:3740,GPX4,NM_002085,296,388,-,-
A00838:54:HLWYKDSXX:2:2223:3540:26099,GPX4,NM_002085,297,428,-,-
A00838:54:HLWYKDSXX:2:1371:19000:14231,GPX4,NM_002085,299,387,-,-
A00838:54:HLWYKDSXX:2:1140:19795:20776,GPX4,NM_002085,299,419,-,-
A00838:54:HLWYKDSXX:2:1576:32307:30452,GPX4,NM_002085,303,519,-,-
A00838:54:HLWYKDSXX:2:1455:25681:15969,GPX4,NM_002085,304,386,-,-
A00838:54:HLWYKDSXX:2:1650:24605:4523,GPX4,NM_002085,305,383,-,-
A00838:54:HLWYKDSXX:2:2430:22227:13495,GPX4,NM_002085,312,425,-,-
A00838:54:HLWYKDSXX:2:1637:29414:13917,GPX4,NM_002085,313,429,-,-
A00838:54:HLWYKDSXX:2:1443:27145:21793,GPX4,NM_002085,315,403,-,-
A00838:54:HLWYKDSXX:2:2220:17074:4601,GPX4,NM_002085,315,419,-,-
A00838:54:HLWYKDSXX:2:2314:4562:4633,GPX4,NM_002085,317,383,-,-
A00838:54:HLWYKDSXX:2:2673:16486:27007,GPX4,NM_002085,319,383,-,-
A00838:54:HLWYKDSXX:2:1610:28266:3975,GPX4,NM_002085,322,381,-,-
A00838:54:HLWYKDSXX:2:1615:29532:35321,GPX4,NM_002085,322,431,-,-
A00838:54:HLWYKDSXX:2:1149:15628:9831,GPX4,NM_002085,323,478,-,-
A00838:54:HLWYKDSXX:2:2503:32190:33317,GPX4,NM_002085,325,354,-,-
A00838:54:HLWYKDSXX:2:2524:29188:5040,GPX4,NM_002085,336,386,-,-
A00838:54:HLWYKDSXX:2:1174:25825:15562,GPX4,NM_002085,336,431,-,-
A00838:54:HLWYKDSXX:2:1134:21459:4272,GPX4,NM_002085,338,357,-,-
A00838:54:HLWYKDSXX:2:1338:7618:28181,GPX4,NM_002085,338,384,-,-
A00838:54:HLWYKDSXX:2:2645:15248:11929,GPX4,NM_002085,338,424,-,-
A00838:54:HLWYKDSXX:2:2448:5014:30467,GPX4,NM_002085,338,429,-,-
A00838:54:HLWYKDSXX:2:2562:20726:6230,GPX4,NM_002085,338,432,-,-
A00838:54:HLWYKDSXX:2:1420:13566:10300,GPX4,NM_002085,339,428,-,-
A00838:54:HLWYKDSXX:2:1107:15049:27305,GPX4,NM_002085,343,374,-,-
A00838:54:HLWYKDSXX:2:1105:15519:22420,GPX4,NM_002085,345,628,-,-
A00838:54:HLWYKDSXX:2:2335:32814:36025,GPX4,NM_002085,353,369,-,-
A00838:54:HLWYKDSXX:2:1105:15067:36292,GPX4,NM_002085,357,389,-,-
A00838:54:HLWYKDSXX:2:2312:10294:25113,GPX4,NM_002085,360,406,-,-
A00838:54:HLWYKDSXX:2:1374:31647:20666,GPX4,NM_002085,361,406,-,-
A00838:54:HLWYKDSXX:2:1221:15347:17769,GPX4,NM_002085,365,527,-,-
A00838:54:HLWYKDSXX:2:2175:32696:26960,GPX4,NM_002085,373,448,-,-
A00838:54:HLWYKDSXX:2:2570:27814:15624,GPX4,NM_002085,378,406,-,-
A00838:54:HLWYKDSXX:2:2474:31620:13385,GPX4,NM_002085,378,443,-,-
A00838:54:HLWYKDSXX:2:1424:30092:20415,GPX4,NM_002085,380,431,-,-
A00838:54:HLWYKDSXX:2:1202:7166:3443,GPX4,NM_002085,385,433,-,-
A00838:54:HLWYKDSXX:2:2570:18186:6308,GPX4,NM_002085,389,427,-,-
A00838:54:HLWYKDSXX:2:2461:21739:19257,GPX4,NM_002085,389,431,-,-
A00838:54:HLWYKDSXX:2:2528:7084:5055,GPX4,NM_002085,392,428,-,-
A00838:54:HLWYKDSXX:2:2409:27398:25927,GPX4,NM_002085,393,413,-,-
A00838:54:HLWYKDSXX:2:2236:32090:1642,GPX4,NM_002085,393,414,-,-
A00838:54:HLWYKDSXX:2:2629:28736:26929,GPX4,NM_002085,394,454,-,-
A00838:54:HLWYKDSXX:2:1578:20365:14935,GPX4,NM_002085,399,516,-,-
