Gene,Transcript_Id,Length,Contact_Counts
DIO1,NM_000792,1869,0
DIO2,NM_013989,6148,0
DIO3,NM_001362,2120,0
GPX1,NM_000581,1175,47
GPX2,NM_002083,1105,84
GPX3,NM_002084,1805,24
GPX4,NM_002085,936,87
GPX6,NM_182701,1712,0
MSRB1,NM_016332,1414,30
SELENOF,NM_004261,1796,9
SELENOH,NM_170746,1448,10
SELENOI,NM_033505,8143,32
SELENOK,NM_021237,1109,14
SELENOM,NM_080430,741,3
SELENON,NM_020451,4357,44
SELENOO,NM_031454,2327,14
SELENOP,NM_005410,2255,120
SELENOS,NM_018445,1262,12
SELENOT,NM_016275,3527,11
SELENOV,NM_182704,1704,0
SELENOW,NM_003009,905,15
SEPHS2,NM_012248,2351,106
TXNRD1,NM_001093771,3869,28
TXNRD2,NM_006440,2127,12
TXNRD3,NM_052883,2912,5
MALAT1,NR_002819,8779,359
NEAT1,NR_028272,3756,196
