read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00268:189:H5GW2DSXX:4:1128:18376:17534,GPX1,NM_000581,276,347,-,-
A00268:189:H5GW2DSXX:4:1645:22363:26913,GPX1,NM_000581,289,347,-,-
A00268:189:H5GW2DSXX:4:1104:25690:2550,GPX1,NM_000581,302,344,+,+
A00268:189:H5GW2DSXX:4:1337:17996:1094,GPX1,NM_000581,302,347,-,-
A00268:189:H5GW2DSXX:4:1658:13530:8202,GPX1,NM_000581,307,344,-,-
A00268:189:H5GW2DSXX:4:1258:4942:22106,GPX1,NM_000581,313,347,-,-
A00268:189:H5GW2DSXX:4:1221:6533:21042,GPX1,NM_000581,317,347,-,-
A00268:189:H5GW2DSXX:4:2512:19587:31031,GPX1,NM_000581,323,347,-,-
A00268:189:H5GW2DSXX:4:1611:5077:35086,GPX1,NM_000581,324,347,-,-
A00268:189:H5GW2DSXX:4:1109:27073:25551,GPX1,NM_000581,444,462,-,-
A00268:189:H5GW2DSXX:4:2456:12020:9940,GPX1,NM_000581,445,462,-,-
A00268:189:H5GW2DSXX:4:1561:23882:20964,GPX1,NM_000581,454,625,-,-
A00268:189:H5GW2DSXX:4:2114:25608:24486,GPX1,NM_000581,466,497,-,-
A00268:189:H5GW2DSXX:4:1145:5647:31657,GPX1,NM_000581,472,547,-,-
A00268:189:H5GW2DSXX:4:1209:9977:11287,GPX1,NM_000581,510,614,-,-
A00268:189:H5GW2DSXX:4:2220:25473:19429,GPX1,NM_000581,545,647,-,-
A00268:189:H5GW2DSXX:4:2208:6659:7827,GPX1,NM_000581,843,914,-,-
A00268:189:H5GW2DSXX:4:2462:27760:7357,TXNRD1,NM_001093771,330,395,-,-
A00268:189:H5GW2DSXX:4:2531:17797:1846,TXNRD1,NM_001093771,396,399,-,-
A00268:189:H5GW2DSXX:4:2636:9598:34898,TXNRD1,NM_001093771,396,402,-,-
A00268:189:H5GW2DSXX:4:1528:28745:2487,TXNRD1,NM_001093771,589,765,-,-
A00268:189:H5GW2DSXX:4:1215:25626:10676,TXNRD1,NM_001093771,675,686,-,-
A00268:189:H5GW2DSXX:4:1251:29930:21637,TXNRD1,NM_001093771,727,737,-,-
A00268:189:H5GW2DSXX:4:1406:32452:11851,TXNRD1,NM_001093771,767,816,-,-
A00268:189:H5GW2DSXX:4:2409:20745:30154,TXNRD1,NM_001093771,770,792,-,-
A00268:189:H5GW2DSXX:4:2166:11505:7545,TXNRD1,NM_001093771,775,833,-,-
A00268:189:H5GW2DSXX:4:2146:18466:28338,TXNRD1,NM_001093771,790,817,-,-
A00268:189:H5GW2DSXX:4:1348:4553:14481,TXNRD1,NM_001093771,790,819,-,-
A00268:189:H5GW2DSXX:4:2641:1054:3286,TXNRD1,NM_001093771,791,794,-,-
A00268:189:H5GW2DSXX:4:2209:8802:9439,TXNRD1,NM_001093771,856,856,-,-
A00268:189:H5GW2DSXX:4:1141:6388:11835,TXNRD1,NM_001093771,876,912,-,-
A00268:189:H5GW2DSXX:4:1509:5294:27978,TXNRD1,NM_001093771,898,898,-,-
A00268:189:H5GW2DSXX:4:2535:12174:20478,TXNRD1,NM_001093771,907,941,-,-
A00268:189:H5GW2DSXX:4:2675:6515:27492,TXNRD1,NM_001093771,931,1188,-,-
A00268:189:H5GW2DSXX:4:2210:18665:26835,TXNRD1,NM_001093771,1048,1608,-,-
A00268:189:H5GW2DSXX:4:2359:25156:3944,TXNRD1,NM_001093771,1122,1282,-,-
A00268:189:H5GW2DSXX:4:1207:1705:4507,TXNRD1,NM_001093771,1228,1265,-,-
A00268:189:H5GW2DSXX:4:1176:2392:32221,TXNRD1,NM_001093771,1250,1308,-,-
A00268:189:H5GW2DSXX:4:1408:6153:23453,TXNRD1,NM_001093771,1275,1360,-,-
A00268:189:H5GW2DSXX:4:2507:27805:12947,TXNRD1,NM_001093771,1284,1294,-,-
A00268:189:H5GW2DSXX:4:1314:32452:35963,TXNRD1,NM_001093771,1293,1357,-,-
A00268:189:H5GW2DSXX:4:1664:25635:32205,TXNRD1,NM_001093771,1295,1533,-,-
A00268:189:H5GW2DSXX:4:1216:24957:8797,TXNRD1,NM_001093771,1300,1420,-,-
A00268:189:H5GW2DSXX:4:1140:26377:3333,TXNRD1,NM_001093771,1315,1360,-,-
A00268:189:H5GW2DSXX:4:2577:11107:2566,TXNRD1,NM_001093771,1315,1391,-,-
A00268:189:H5GW2DSXX:4:2474:5321:4319,TXNRD1,NM_001093771,1315,1491,-,-
A00268:189:H5GW2DSXX:4:1448:19108:16172,TXNRD1,NM_001093771,1325,1327,-,-
A00268:189:H5GW2DSXX:4:1529:23402:2096,TXNRD1,NM_001093771,1331,1431,-,-
A00268:189:H5GW2DSXX:4:1372:31774:25269,TXNRD1,NM_001093771,1337,1390,-,-
A00268:189:H5GW2DSXX:4:1371:31964:18396,TXNRD1,NM_001093771,1339,1397,-,-
A00268:189:H5GW2DSXX:4:1169:15781:8719,TXNRD1,NM_001093771,1342,1343,-,-
A00268:189:H5GW2DSXX:4:2159:32750:8547,TXNRD1,NM_001093771,1347,1348,-,-
A00268:189:H5GW2DSXX:4:2228:29333:12399,TXNRD1,NM_001093771,1354,1354,-,-
A00268:189:H5GW2DSXX:4:2228:29451:12915,TXNRD1,NM_001093771,1354,1355,-,-
A00268:189:H5GW2DSXX:4:1224:31819:11851,TXNRD1,NM_001093771,1385,1507,-,-
A00268:189:H5GW2DSXX:4:1163:5195:15468,TXNRD1,NM_001093771,1388,1474,-,-
A00268:189:H5GW2DSXX:4:1503:30563:2347,TXNRD1,NM_001093771,1575,1703,-,-
A00268:189:H5GW2DSXX:4:1245:21097:36526,TXNRD1,NM_001093771,1613,1625,-,-
