read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00639:1136:H53GLDRX2:1:2104:7238:30311,GPX1,NM_000581,451,488,+,+
A00639:1136:H53GLDRX2:2:2243:10836:13745,TXNRD1,NM_001093771,322,734,-,-
A00639:1136:H53GLDRX2:1:2256:5701:6981,TXNRD1,NM_001093771,334,408,-,-
A00639:1136:H53GLDRX2:2:2234:30409:20995,TXNRD1,NM_001093771,384,528,+,+
A00639:1136:H53GLDRX2:2:2170:10330:9424,TXNRD1,NM_001093771,410,511,-,-
A00639:1136:H53GLDRX2:2:2170:8359:12712,TXNRD1,NM_001093771,410,512,-,-
A00639:1136:H53GLDRX2:2:2134:3784:22075,TXNRD1,NM_001093771,430,431,-,-
A00639:1136:H53GLDRX2:1:2252:13729:3349,TXNRD1,NM_001093771,455,474,-,-
A00639:1136:H53GLDRX2:1:2219:29215:5149,TXNRD1,NM_001093771,475,524,-,-
A00639:1136:H53GLDRX2:1:2278:29749:35352,TXNRD1,NM_001093771,475,582,-,-
A00639:1136:H53GLDRX2:1:2121:19370:1846,TXNRD1,NM_001093771,513,552,-,-
A00639:1136:H53GLDRX2:2:2274:3974:1172,TXNRD1,NM_001093771,633,640,-,-
A00639:1136:H53GLDRX2:1:2260:20401:8672,TXNRD1,NM_001093771,636,716,-,-
A00639:1136:H53GLDRX2:1:2260:20799:8578,TXNRD1,NM_001093771,636,717,-,-
A00639:1136:H53GLDRX2:1:2178:12427:12179,TXNRD1,NM_001093771,642,759,-,-
A00639:1136:H53GLDRX2:1:2120:31195:31657,TXNRD1,NM_001093771,692,756,-,-
A00639:1136:H53GLDRX2:2:2163:2446:35039,TXNRD1,NM_001093771,699,854,-,-
A00639:1136:H53GLDRX2:2:2212:13639:24737,TXNRD1,NM_001093771,703,781,-,-
A00639:1136:H53GLDRX2:1:2249:11107:34882,TXNRD1,NM_001093771,714,747,-,-
A00639:1136:H53GLDRX2:2:2263:17508:23109,TXNRD1,NM_001093771,723,732,-,-
A00639:1136:H53GLDRX2:2:2263:17047:22373,TXNRD1,NM_001093771,723,735,-,-
A00639:1136:H53GLDRX2:1:2274:20781:10833,TXNRD1,NM_001093771,728,729,-,-
A00639:1136:H53GLDRX2:1:2174:5014:22858,TXNRD1,NM_001093771,776,832,-,-
A00639:1136:H53GLDRX2:2:2109:21495:6872,TXNRD1,NM_001093771,813,864,-,-
A00639:1136:H53GLDRX2:1:2275:15329:30232,TXNRD1,NM_001093771,813,865,-,-
A00639:1136:H53GLDRX2:1:2123:3965:20917,TXNRD1,NM_001093771,813,867,-,-
A00639:1136:H53GLDRX2:1:2203:6614:12790,TXNRD1,NM_001093771,815,815,-,-
A00639:1136:H53GLDRX2:2:2123:29071:23813,TXNRD1,NM_001093771,868,868,-,-
A00639:1136:H53GLDRX2:1:2153:8919:17002,TXNRD1,NM_001093771,876,879,-,-
A00639:1136:H53GLDRX2:1:2176:10456:10989,TXNRD1,NM_001093771,878,880,-,-
A00639:1136:H53GLDRX2:1:2176:10465:11005,TXNRD1,NM_001093771,879,880,-,-
A00639:1136:H53GLDRX2:1:2171:12798:35524,TXNRD1,NM_001093771,1117,1188,-,-
A00639:1136:H53GLDRX2:1:2242:10348:10958,TXNRD1,NM_001093771,1158,1230,-,-
A00639:1136:H53GLDRX2:2:2136:26937:25222,TXNRD1,NM_001093771,1189,1189,-,-
A00639:1136:H53GLDRX2:1:2102:16559:13448,TXNRD1,NM_001093771,1189,1270,-,-
