read_id,gene_name,transcript_id,position1,position2,strand1,strand2
A00869:260:H3KWNDSXY:3:1322:14064:28604,GPX1,NM_000581,625,703,+,+
A00869:260:H3KWNDSXY:3:1103:28429:14873,TXNRD1,NM_001093771,478,524,-,-
A00869:260:H3KWNDSXY:3:1439:9290:17143,TXNRD1,NM_001093771,822,897,-,-
A00869:260:H3KWNDSXY:3:1151:13187:24925,TXNRD1,NM_001093771,1118,1282,-,-
A00869:260:H3KWNDSXY:3:2224:27444:16642,TXNRD1,NM_001093771,1221,1788,-,-
A00869:260:H3KWNDSXY:3:2657:30237:12555,TXNRD1,NM_001093771,1266,1267,-,-
A00869:260:H3KWNDSXY:3:1249:20645:29700,TXNRD1,NM_001093771,1328,2106,-,-
A00869:260:H3KWNDSXY:3:1156:29414:31234,TXNRD1,NM_001093771,1492,1497,-,-
A00869:260:H3KWNDSXY:3:2517:28094:24627,TXNRD1,NM_001093771,2315,2433,-,-
A00869:260:H3KWNDSXY:3:1333:30689:13432,TXNRD1,NM_001093771,2437,2602,-,-
A00869:260:H3KWNDSXY:3:1309:6795:9439,TXNRD1,NM_001093771,2496,2593,-,-
A00869:260:H3KWNDSXY:3:2401:31259:13291,TXNRD1,NM_001093771,2733,2822,-,-
A00869:260:H3KWNDSXY:3:2332:14443:12508,TXNRD1,NM_001093771,2737,2848,-,-
A00869:260:H3KWNDSXY:3:1252:12246:20509,TXNRD1,NM_001093771,2959,3111,-,-
A00869:260:H3KWNDSXY:3:2507:8477:22028,GPX2,NM_002083,435,691,+,+
A00869:260:H3KWNDSXY:3:2568:17788:7059,GPX2,NM_002083,570,698,+,+
A00869:260:H3KWNDSXY:3:1147:14995:16971,GPX2,NM_002083,688,809,+,+
A00869:260:H3KWNDSXY:3:2335:14036:29340,GPX2,NM_002083,693,809,+,+
A00869:260:H3KWNDSXY:3:1541:13657:20008,GPX2,NM_002083,695,811,+,+
A00869:260:H3KWNDSXY:3:1458:13973:29168,GPX4,NM_002085,116,282,-,-
A00869:260:H3KWNDSXY:3:1546:14940:28651,GPX4,NM_002085,183,203,-,-
A00869:260:H3KWNDSXY:3:1160:29631:12414,GPX4,NM_002085,213,430,-,-
A00869:260:H3KWNDSXY:3:1371:8133:11193,GPX4,NM_002085,241,379,-,-
A00869:260:H3KWNDSXY:3:2347:31349:35117,GPX4,NM_002085,259,293,-,-
A00869:260:H3KWNDSXY:3:1468:1732:5181,GPX4,NM_002085,270,381,-,-
A00869:260:H3KWNDSXY:3:2276:9805:16219,GPX4,NM_002085,353,428,-,-
A00869:260:H3KWNDSXY:3:2278:9697:34569,GPX4,NM_002085,420,532,-,-
A00869:260:H3KWNDSXY:3:2111:6216:26944,GPX4,NM_002085,632,706,-,-
